,confirm,heal,dead,confirm_add
03.23,1,0,0,1
03.24,1,0,0,0
03.25,4,0,0,3
03.26,5,0,0,1
03.27,5,0,0,0
03.28,5,0,0,0
03.29,6,0,0,1
03.30,10,0,1,5
03.31,10,0,2,0
04.01,10,0,2,0
04.02,16,0,2,6
04.03,16,0,2,0
04.04,16,2,2,0
04.05,19,2,2,3
04.06,19,2,2,0
04.07,19,2,2,0
04.08,19,3,2,0
04.09,19,4,2,0
04.10,19,4,2,0
04.11,19,4,2,0
04.12,25,5,2,6
04.13,25,5,2,0
04.14,25,5,2,0
04.15,29,5,2,4
04.16,33,5,2,4
04.17,33,5,2,0
04.18,38,5,2,5
04.19,38,5,2,0
04.20,39,5,3,1
04.21,39,6,3,0
04.22,42,6,3,3
04.23,42,6,3,0
04.24,42,6,3,0
04.25,42,6,3,0
04.26,42,11,3,0
04.27,43,14,3,1
04.28,43,19,3,0
04.29,43,21,3,0
04.30,43,21,3,0
05.01,43,21,3,0
05.02,44,27,3,1
05.03,44,27,3,0
05.04,44,27,3,0
05.05,44,27,3,0
05.06,45,27,3,1
05.07,45,27,3,0
05.08,47,27,3,2
05.09,47,29,3,0
05.10,47,29,3,0
05.11,47,29,3,0
05.12,47,29,3,0
05.13,48,29,3,1
05.14,48,29,3,0
05.15,48,29,3,0
05.16,50,36,3,2
05.17,51,36,3,1
05.18,58,36,3,7
05.19,58,36,3,0
05.20,58,36,3,0
05.21,58,36,3,0
05.22,58,36,3,0
05.23,70,37,4,12
05.24,86,41,4,16
05.25,106,41,4,20
05.26,121,41,4,15
05.27,121,41,4,0
05.28,121,43,4,0
05.29,122,43,4,1
05.30,122,43,4,0
05.31,122,43,4,0
06.01,123,46,5,1
06.02,123,50,6,0
06.03,123,50,6,0
06.04,123,53,6,0
06.05,124,53,6,1
06.06,124,53,6,0
06.07,125,58,6,1
06.08,141,58,6,16
06.09,144,62,6,3
06.10,146,62,6,2
06.11,152,68,6,6
06.12,164,68,6,12
06.13,170,71,6,6
06.14,177,74,6,7
06.15,177,74,6,0
06.16,177,78,6,0
06.17,177,78,6,0
06.18,187,78,7,10
06.19,187,78,7,0
06.20,198,83,7,11
06.21,204,83,7,6
06.22,219,83,7,15
06.23,219,86,7,0
06.24,231,94,7,12
06.25,242,96,7,11
06.26,242,96,7,0
06.27,256,102,9,14
06.28,256,102,9,0
06.29,269,102,9,13
06.30,279,105,9,10
07.01,293,110,9,14
07.02,312,113,9,19
07.03,328,123,10,16
07.04,338,123,10,10
07.05,358,126,13,20
07.06,372,126,14,14
07.07,372,126,14,0
07.08,372,126,14,0
07.09,372,126,14,0
07.10,394,126,16,22
07.11,394,126,16,0
07.12,394,126,16,0
07.13,417,136,19,23
07.14,439,138,21,22
07.15,439,138,21,0
07.16,458,140,22,19
07.17,477,140,22,19
07.18,496,144,25,19
07.19,496,144,25,0
07.20,522,154,29,26
07.21,522,154,29,0
07.22,561,165,32,39
07.23,561,165,32,0
07.24,608,184,35,47
07.25,608,184,35,0
07.26,650,200,38,42
07.27,650,200,38,0
07.28,674,210,40,24
07.29,694,220,40,20
07.30,717,229,40,23
07.31,738,229,41,21
08.01,757,237,43,19
08.02,780,237,43,23
