,confirm,heal,dead,confirm_add
04.30,15,0,0,0
05.01,15,0,0,0
05.02,32,0,0,17
05.03,76,0,2,44
05.04,230,0,3,154
05.05,293,0,5,63
05.06,379,0,8,86
05.07,461,0,12,82
05.08,522,0,12,61
05.09,612,0,20,90
05.10,612,0,20,0
05.11,661,0,21,49
05.12,661,0,21,0
05.13,801,0,23,140
05.14,907,0,29,106
05.15,1118,0,33,211
05.16,1322,0,36,204
05.17,1322,0,36,0
05.18,1729,0,41,407
05.19,1936,0,41,207
05.20,1936,641,41,0
05.21,2140,470,41,204
05.22,2350,1008,44,210
05.23,2738,1223,44,388
05.24,2929,1301,46,191
05.25,2929,1301,46,0
05.26,3266,1417,47,337
05.27,3424,1575,47,158
05.28,3563,1674,47,139
05.29,3686,1769,47,123
05.30,3807,1865,47,121
05.31,3930,2004,47,123
06.01,4013,2089,47,83
06.02,4100,2217,47,87
06.03,4100,2217,47,0
06.04,4191,2347,48,91
06.05,4370,2491,48,179
06.06,4370,2491,48,0
06.07,4529,2673,48,159
06.08,4609,2763,48,80
06.09,4690,2815,48,81
06.10,4690,2815,48,0
06.11,4834,3062,49,144
06.12,4902,3158,49,68
06.13,4971,3288,50,69
06.14,5035,3409,50,64
06.15,5097,3503,50,62
06.16,5097,3503,50,0
06.17,5160,3624,50,63
06.18,5279,3762,51,119
06.19,5338,3830,51,59
06.20,5399,3894,52,61
06.21,5457,3995,52,58
06.22,5457,3995,52,0
06.23,5567,4109,52,110
06.24,5630,4194,52,63
06.25,5691,4267,52,61
06.26,5747,4331,52,56
06.27,5747,4331,52,0
06.28,5849,4448,52,102
06.29,5900,4506,52,51
06.30,5900,4506,52,0
07.01,5954,4568,52,54
07.02,6058,4690,52,104
07.03,6058,4690,52,0
07.04,6058,4690,52,0
07.05,6159,4809,52,101
07.06,6213,4858,53,54
07.07,6262,4914,53,49
07.08,6364,5011,54,102
07.09,6364,5011,54,0
07.10,6410,5067,54,46
07.11,6506,5176,55,96
07.12,6506,5176,55,0
07.13,6552,5228,55,46
07.14,6596,5278,55,44
07.15,6695,5383,56,99
07.16,6695,5383,56,0
07.17,6786,5483,56,91
07.18,6834,5529,57,48
07.19,6834,5529,57,0
07.20,6878,5578,57,44
07.21,6967,5683,57,89
07.22,7015,5741,58,48
07.23,7060,5793,58,45
07.24,7104,5851,58,44
07.25,7150,5906,59,46
07.26,7150,5906,59,0
07.27,7235,7235,60,85
07.28,7276,6065,60,41
07.29,7320,6103,60,44
07.30,7366,6151,60,46
07.31,7366,6151,60,0
08.01,7451,6233,60,85
08.02,7495,6276,61,44
08.03,7538,6317,61,43
08.04,7583,6356,61,45
08.05,7625,6399,61,42
08.06,7665,6443,62,40
08.07,7665,6443,62,0
08.08,7706,6484,62,41
08.09,7706,6484,62,0
08.10,7827,6614,62,121
08.11,7871,6653,63,44
08.12,7912,6696,63,41
08.13,7950,6741,63,38
08.14,7950,6741,63,0
08.15,8029,6815,64,79
08.16,8065,6855,64,36
08.17,8065,6855,64,0
08.18,8131,6935,65,66
08.19,8166,6971,65,35
08.20,8203,7006,66,37
08.21,8241,7040,66,38
08.22,8241,7040,66,0
08.23,8277,7072,66,36
08.24,8346,7142,67,69
08.25,8379,7179,67,33
08.26,8413,7214,67,34
08.27,8449,7246,68,36
08.28,8481,7276,68,32
08.29,8516,7309,68,35
08.30,8516,7309,68,0
08.31,8583,7376,68,67
09.01,8619,7413,68,36
09.02,8654,7447,69,35
09.03,8690,7482,69,36
09.04,8724,7515,69,34
09.05,8757,7549,70,33
09.06,8792,7581,70,35
09.07,8824,7616,70,32
09.08,8860,7650,70,36
