,confirm,heal,dead,confirm_add
03.16,1,0,0,1
03.17,1,0,0,0
03.18,3,0,0,2
03.19,6,0,0,3
03.20,6,0,0,0
03.21,6,0,0,0
03.22,12,0,0,6
03.23,12,0,0,0
03.24,12,0,0,0
03.25,12,0,0,0
03.26,13,1,0,1
03.27,13,1,0,0
03.28,13,1,0,0
03.29,14,1,0,1
03.30,19,1,0,5
03.31,19,1,1,0
04.01,20,1,1,1
04.02,20,2,1,0
04.03,20,3,1,0
04.04,20,3,1,0
04.05,20,3,1,0
04.06,22,3,1,2
04.07,24,5,1,2
04.08,24,5,1,0
04.09,25,5,1,1
04.10,32,5,3,7
04.11,32,5,3,0
04.12,32,5,3,0
04.13,46,7,3,14
04.14,49,7,3,3
04.15,59,7,3,10
04.16,94,11,4,35
04.17,147,11,5,53
04.18,147,11,5,0
04.19,170,11,7,23
04.20,170,11,7,0
04.21,254,11,10,84
04.22,284,11,10,30
04.23,284,11,10,0
04.24,284,48,10,0
04.25,299,48,10,15
04.26,299,48,10,0
04.27,299,48,10,0
04.28,299,48,10,0
04.29,480,167,16,181
04.30,480,167,16,0
05.01,480,167,16,0
05.02,480,167,16,0
05.03,480,167,16,0
05.04,480,167,16,0
05.05,480,167,16,0
05.06,480,167,16,0
05.07,480,167,16,0
05.08,480,167,16,0
05.09,509,183,21,29
05.10,509,183,21,0
05.11,509,183,21,0
05.12,509,183,21,0
05.13,509,183,21,0
05.14,509,183,21,0
05.15,509,183,21,0
05.16,509,183,21,0
05.17,509,183,21,0
05.18,509,183,21,0
05.19,509,183,21,0
05.20,509,183,21,0
05.21,509,183,21,0
05.22,509,183,21,0
05.23,509,183,21,0
05.24,509,183,21,0
05.25,509,183,21,0
05.26,509,183,21,0
05.27,509,183,21,0
05.28,509,183,21,0
05.29,509,183,21,0
05.30,509,183,21,0
05.31,509,183,21,0
06.01,509,183,21,0
06.02,509,183,21,0
06.03,509,183,21,0
06.04,509,183,21,0
06.05,509,183,21,0
06.06,509,183,21,0
06.07,509,183,21,0
06.08,509,183,21,0
06.09,509,183,21,0
06.10,509,183,21,0
06.11,509,183,21,0
06.12,509,183,21,0
06.13,509,183,21,0
06.14,509,183,21,0
06.15,509,183,21,0
06.16,509,183,21,0
06.17,509,183,21,0
06.18,509,183,21,0
06.19,509,183,21,0
06.20,509,183,21,0
06.21,509,183,21,0
06.22,509,183,21,0
06.23,509,183,21,0
06.24,509,183,21,0
06.25,509,183,21,0
06.26,509,183,21,0
06.27,509,183,21,0
06.28,509,183,21,0
06.29,509,183,21,0
06.30,509,183,21,0
07.01,509,183,21,0
07.02,509,183,21,0
07.03,509,183,21,0
07.04,509,183,21,0
07.05,509,183,21,0
07.06,509,183,21,0
07.07,509,183,21,0
07.08,509,183,21,0
07.09,509,183,21,0
07.10,509,183,21,0
07.11,509,183,21,0
07.12,509,183,21,0
07.13,509,183,21,0
07.14,509,183,21,0
07.15,509,183,21,0
07.16,509,183,21,0
07.17,509,183,21,0
07.18,509,183,21,0
07.19,509,183,21,0
07.20,509,183,21,0
07.21,509,183,21,0
07.22,509,183,21,0
07.23,509,183,21,0
07.24,509,183,21,0
07.25,509,183,21,0
07.26,509,183,21,0
07.27,509,183,21,0
07.28,509,183,21,0
07.29,509,183,21,0
07.30,509,183,21,0
07.31,509,183,21,0
08.01,509,183,21,0
08.02,509,183,21,0
08.03,509,183,21,0
08.04,509,183,21,0
08.05,509,183,21,0
08.06,509,183,21,0
08.07,509,183,21,0
08.08,509,183,21,0
08.09,509,183,21,0
08.10,509,183,21,0
08.11,509,183,21,0
08.12,509,183,21,0
08.13,509,183,21,0
08.14,509,183,21,0
08.15,509,183,21,0
08.16,509,183,21,0
08.17,509,183,21,0
08.18,509,183,21,0
08.19,509,183,21,0
08.20,509,183,21,0
08.21,509,183,21,0
08.22,509,183,21,0
08.23,509,183,21,0
08.24,509,183,21,0
08.25,509,183,21,0
08.26,509,183,21,0
08.27,509,183,21,0
08.28,509,183,21,0
08.29,509,183,21,0
08.30,509,183,21,0
08.31,509,183,21,0
09.01,509,183,21,0
09.02,509,183,21,0
09.03,509,183,21,0
09.04,509,183,21,0
09.05,509,183,21,0
09.06,509,183,21,0
09.07,509,183,21,0
09.08,509,183,21,0
09.09,509,183,21,0
09.10,509,183,21,0
09.11,509,183,21,0
09.12,509,183,21,0
09.13,509,183,21,0
09.14,509,183,21,0
09.15,509,183,21,0
09.16,509,183,21,0
09.17,509,183,21,0
09.18,509,183,21,0
09.19,509,183,21,0
09.20,509,183,21,0
09.21,509,183,21,0
09.22,509,183,21,0
09.23,509,183,21,0
09.24,509,183,21,0
09.25,509,183,21,0
09.26,509,183,21,0
09.27,509,183,21,0
09.28,509,183,21,0
09.29,509,183,21,0
09.30,509,183,21,0
10.01,509,183,21,0
10.02,509,183,21,0
10.03,509,183,21,0
10.04,509,183,21,0
10.05,509,183,21,0
10.06,509,183,21,0
10.07,509,183,21,0
10.08,509,183,21,0
10.09,509,183,21,0
10.10,509,183,21,0
10.11,509,183,21,0
10.12,509,183,21,0
10.13,509,183,21,0
10.14,509,183,21,0
10.15,509,183,21,0
10.16,509,183,21,0
10.17,509,183,21,0
10.18,509,183,21,0
10.19,509,183,21,0
10.20,509,183,21,0
10.21,509,183,21,0
10.22,509,183,21,0
10.23,509,183,21,0
10.24,509,183,21,0
10.25,509,183,21,0
10.26,509,183,21,0
10.27,509,183,21,0
10.28,509,183,21,0
10.29,509,183,21,0
10.30,509,183,21,0
10.31,509,183,21,0
11.01,509,183,21,0
11.02,509,183,21,0
11.03,509,183,21,0
11.04,509,183,21,0
11.05,509,183,21,0
11.06,509,183,21,0
11.07,509,183,21,0
11.08,509,183,21,0
11.09,509,183,21,0
11.10,509,183,21,0
11.11,509,183,21,0
11.12,509,183,21,0
11.13,509,183,21,0
11.14,509,183,21,0
11.15,509,183,21,0
11.16,509,183,21,0
11.17,509,183,21,0
11.18,509,183,21,0
11.19,509,183,21,0
11.20,509,183,21,0
11.21,509,183,21,0
11.22,509,183,21,0
11.23,509,183,21,0
11.24,509,183,21,0
11.25,509,183,21,0
11.26,509,183,21,0
11.27,509,183,21,0
11.28,509,183,21,0
11.29,509,183,21,0
11.30,509,183,21,0
12.01,509,183,21,0
12.02,509,183,21,0
12.03,509,183,21,0
12.04,509,183,21,0
12.05,509,183,21,0
12.06,509,183,21,0
12.07,509,183,21,0
12.08,509,183,21,0
12.09,509,183,21,0
12.10,509,183,21,0
12.11,509,183,21,0
12.12,509,183,21,0
12.13,509,183,21,0
12.14,509,183,21,0
12.15,509,183,21,0
12.16,509,183,21,0
12.17,509,183,21,0
12.18,509,183,21,0
12.19,509,183,21,0
12.20,509,183,21,0
12.21,509,183,21,0
12.22,509,183,21,0
12.23,509,183,21,0
12.24,509,183,21,0
12.25,509,183,21,0
12.26,509,183,21,0
12.27,509,183,21,0
12.28,509,183,21,0
12.29,509,183,21,0
12.30,509,183,21,0
12.31,509,183,21,0
01.01,509,183,21,0
01.02,509,183,21,0
01.03,509,183,21,0
