,confirm,heal,dead,confirm_add
03.21,1,0,0,1
03.22,1,0,0,0
03.23,1,0,0,0
03.24,1,0,0,0
03.25,1,0,0,0
03.26,1,0,0,0
03.27,1,0,0,0
03.28,1,0,0,0
03.29,1,0,0,0
03.30,1,0,0,0
03.31,1,0,0,0
04.01,1,0,0,0
04.02,1,0,0,0
04.03,1,0,0,0
04.04,1,0,0,0
04.05,1,0,0,0
04.06,1,0,0,0
04.07,1,0,0,0
04.08,1,0,0,0
04.09,1,0,0,0
04.10,2,1,0,1
04.11,2,1,0,0
04.12,2,1,0,0
04.13,4,1,0,2
04.14,6,1,0,2
04.15,8,1,0,2
04.16,18,1,0,10
04.17,18,1,0,0
04.18,18,1,0,0
04.19,19,1,0,1
04.20,22,1,0,3
04.21,23,1,0,1
04.22,23,1,0,0
04.23,23,1,0,0
04.24,23,1,0,0
04.25,24,2,0,1
04.26,24,2,0,0
04.27,24,2,0,0
04.28,24,6,0,0
04.29,24,6,0,0
04.30,24,16,0,0
05.01,24,16,0,0
05.02,24,16,0,0
05.03,24,16,0,0
05.04,24,20,0,0
05.05,24,20,0,0
05.06,24,20,0,0
05.07,24,20,0,0
05.08,24,21,0,0
05.09,24,21,0,0
05.10,24,21,0,0
05.11,24,21,0,0
05.12,24,21,0,0
05.13,24,21,0,0
05.14,24,21,0,0
05.15,24,24,0,0
05.16,24,24,0,0
05.17,24,24,0,0
05.18,24,24,0,0
05.19,24,24,0,0
05.20,24,24,0,0
05.21,24,24,0,0
05.22,24,24,0,0
05.23,24,24,0,0
05.24,24,24,0,0
05.25,24,24,0,0
05.26,24,24,0,0
05.27,24,24,0,0
05.28,24,24,0,0
05.29,24,24,0,0
05.30,24,24,0,0
05.31,24,24,0,0
06.01,24,24,0,0
06.02,24,24,0,0
06.03,24,24,0,0
06.04,24,24,0,0
06.05,24,24,0,0
06.06,24,24,0,0
06.07,24,24,0,0
06.08,24,24,0,0
06.09,24,24,0,0
06.10,24,24,0,0
06.11,24,24,0,0
06.12,24,24,0,0
06.13,24,24,0,0
06.14,24,24,0,0
06.15,24,24,0,0
06.16,24,24,0,0
06.17,24,24,0,0
06.18,24,24,0,0
06.19,24,24,0,0
06.20,24,24,0,0
06.21,24,24,0,0
06.22,24,24,0,0
06.23,24,24,0,0
06.24,24,24,0,0
06.25,24,24,0,0
06.26,24,24,0,0
06.27,24,24,0,0
06.28,24,24,0,0
06.29,24,24,0,0
06.30,24,24,0,0
07.01,24,24,0,0
07.02,24,24,0,0
07.03,24,24,0,0
07.04,24,24,0,0
07.05,24,24,0,0
07.06,24,24,0,0
07.07,24,24,0,0
07.08,24,24,0,0
07.09,24,24,0,0
07.10,24,24,0,0
07.11,24,24,0,0
07.12,24,24,0,0
07.13,24,24,0,0
07.14,24,24,0,0
07.15,24,24,0,0
07.16,24,24,0,0
07.17,24,24,0,0
07.18,24,24,0,0
07.19,24,24,0,0
07.20,24,24,0,0
07.21,24,24,0,0
07.22,24,24,0,0
07.23,24,24,0,0
07.24,24,24,0,0
07.25,24,24,0,0
07.26,24,24,0,0
07.27,24,24,0,0
07.28,24,24,0,0
07.29,24,24,0,0
07.30,24,24,0,0
07.31,24,24,0,0
08.01,24,24,0,0
08.02,24,24,0,0
08.03,24,24,0,0
08.04,24,24,0,0
08.05,25,24,0,1
08.06,25,24,0,0
08.07,25,24,0,0
08.08,25,24,0,0
08.09,25,24,0,0
08.10,25,24,0,0
08.11,25,24,0,0
08.12,25,24,0,0
08.13,25,24,0,0
08.14,25,24,0,0
08.15,25,24,0,0
08.16,25,24,0,0
08.17,25,24,0,0
08.18,25,24,0,0
08.19,25,25,0,0
08.20,25,25,0,0
08.21,25,25,0,0
08.22,26,25,0,1
08.23,26,25,0,0
08.24,26,25,0,0
08.25,26,25,0,0
08.26,26,25,0,0
08.27,27,25,0,1
08.28,27,25,0,0
08.29,27,25,0,0
08.30,27,25,0,0
08.31,27,25,0,0
09.01,27,25,0,0
09.02,27,25,0,0
09.03,27,25,0,0
09.04,27,25,0,0
09.05,27,25,0,0
09.06,27,25,0,0
09.07,27,25,0,0
09.08,27,25,0,0
09.09,27,25,0,0
09.10,27,25,0,0
09.11,27,25,0,0
09.12,27,25,0,0
09.13,27,25,0,0
09.14,27,26,0,0
09.15,27,26,0,0
09.16,27,26,0,0
09.17,27,26,0,0
09.18,27,26,0,0
09.19,27,26,0,0
09.20,27,26,0,0
09.21,27,26,0,0
09.22,27,27,0,0
09.23,27,27,0,0
09.24,27,27,0,0
09.25,27,27,0,0
09.26,27,27,0,0
09.27,27,27,0,0
09.28,27,27,0,0
09.29,28,31,0,1
09.30,28,28,0,0
10.01,28,28,0,0
10.02,28,28,0,0
10.03,28,28,0,0
10.04,28,28,0,0
10.05,28,28,0,0
10.06,28,28,0,0
10.07,28,28,0,0
10.08,28,28,0,0
10.09,28,28,0,0
10.10,28,28,0,0
10.11,28,28,0,0
10.12,29,28,0,1
10.13,29,28,0,0
10.14,29,28,0,0
10.15,29,28,0,0
10.16,29,28,0,0
10.17,29,28,0,0
10.18,29,28,0,0
10.19,29,28,0,0
10.20,29,28,0,0
10.21,29,28,0,0
10.22,29,28,0,0
10.23,29,28,0,0
10.24,29,28,0,0
10.25,29,28,0,0
10.26,29,28,0,0
10.27,30,28,0,1
10.28,30,29,0,0
10.29,30,29,0,0
10.30,30,29,0,0
10.31,30,29,0,0
11.01,30,29,0,0
11.02,30,29,0,0
11.03,30,29,0,0
11.04,30,29,0,0
11.05,30,29,0,0
11.06,30,29,0,0
11.07,30,29,0,0
11.08,30,29,0,0
11.09,30,29,0,0
11.10,30,29,0,0
11.11,30,29,0,0
11.12,30,29,0,0
11.13,30,29,0,0
11.14,30,30,0,0
11.15,30,30,0,0
11.16,30,30,0,0
11.17,30,30,0,0
11.18,30,30,0,0
11.19,30,30,0,0
11.20,30,30,0,0
11.21,30,30,0,0
11.22,30,30,0,0
11.23,30,30,0,0
11.24,30,30,0,0
11.25,30,30,0,0
11.26,30,30,0,0
11.27,30,30,0,0
11.28,30,30,0,0
11.29,30,30,0,0
11.30,30,30,0,0
12.01,30,30,0,0
12.02,30,30,0,0
12.03,31,30,0,1
12.04,31,30,0,0
12.05,31,30,0,0
12.06,31,30,0,0
12.07,31,30,0,0
12.08,31,30,0,0
12.09,31,30,0,0
12.10,31,30,0,0
12.11,31,30,0,0
12.12,31,30,0,0
12.13,31,30,0,0
12.14,31,30,0,0
12.15,31,30,0,0
12.16,31,30,0,0
12.17,31,30,0,0
12.18,31,30,0,0
12.19,31,30,0,0
12.20,31,35,0,0
