,confirm,heal,dead,confirm_add
03.06,1,0,0,1
03.07,1,0,0,1
03.08,1,0,0,0
03.09,1,0,0,0
03.10,1,0,0,0
03.11,1,0,0,0
03.12,1,0,0,0
03.13,1,0,0,0
03.14,1,0,0,0
03.15,1,0,0,0
03.16,1,0,0,0
03.17,1,0,0,0
03.18,1,0,0,0
03.19,1,0,0,0
03.20,9,0,0,8
03.21,16,1,0,7
03.22,16,1,0,0
03.23,18,0,0,2
03.24,20,1,0,2
03.25,23,1,0,3
03.26,23,1,0,0
03.27,25,1,0,2
03.28,25,1,1,9
03.29,25,1,1,0
03.30,30,7,1,5
03.31,30,1,1,0
04.01,36,10,2,6
04.02,36,10,2,0
04.03,40,17,3,4
04.04,41,17,3,1
04.05,44,20,3,3
04.06,52,22,3,8
04.07,58,23,3,6
04.08,70,23,3,12
04.09,73,24,3,3
04.10,76,25,3,3
04.11,76,25,3,0
04.12,76,29,3,0
04.13,76,29,3,0
04.14,77,32,3,1
04.15,81,35,3,4
04.16,81,45,5,0
04.17,83,48,5,2
04.18,84,49,5,1
04.19,84,49,5,0
04.20,84,52,5,0
04.21,84,53,6,0
04.22,88,56,6,4
04.23,88,56,6,0
04.24,90,59,6,2
04.25,96,62,6,6
04.26,96,62,6,0
04.27,98,62,6,2
04.28,99,62,6,1
04.29,109,64,7,10
04.30,116,65,9,7
05.01,116,65,9,0
05.02,123,66,9,7
05.03,123,66,9,0
05.04,126,74,9,3
05.05,128,74,9,2
05.06,128,77,9,0
05.07,128,77,9,0
05.08,145,85,10,17
05.09,145,85,10,0
05.10,153,87,10,8
05.11,174,89,11,21
05.12,181,89,11,7
05.13,199,92,11,18
05.14,219,96,11,20
05.15,238,96,11,19
05.16,263,96,11,25
05.17,298,99,11,35
05.18,301,104,11,3
05.19,330,106,12,29
05.20,338,107,12,8
05.21,340,110,12,2
05.22,354,118,12,14
05.23,363,121,12,9
05.24,373,133,12,10
05.25,381,141,12,8
05.26,386,161,13,5
05.27,391,177,13,5
05.28,395,183,13,4
05.29,422,197,13,27
05.30,428,202,13,6
05.31,433,206,13,5
06.01,442,211,13,9
06.02,443,215,13,1
06.03,445,230,13,2
06.04,452,236,13,7
06.05,465,239,13,13
06.06,485,240,13,20
06.07,487,240,13,2
06.08,495,248,13,8
06.09,497,251,13,2
06.10,501,260,13,4
06.11,522,265,13,21
06.12,524,271,13,2
06.13,525,279,13,1
06.14,530,291,13,5
06.15,531,299,13,1
06.16,532,308,13,1
06.17,537,344,13,5
06.18,544,353,13,7
06.19,547,353,13,3
06.20,555,361,13,8
06.21,561,366,13,6
06.22,569,375,13,8
06.23,569,380,13,0
06.24,576,384,13,7
06.25,583,392,14,7
06.26,588,394,14,5
06.27,591,395,14,3
06.28,615,396,14,24
06.29,642,401,14,27
06.30,643,401,14,1
07.01,650,402,14,7
07.02,661,414,14,11
07.03,667,424,14,6
07.04,671,424,14,4
07.05,676,432,15,5
07.06,680,447,15,4
07.07,680,450,15,0
07.08,689,467,15,9
07.09,695,475,15,6
07.10,704,483,15,9
07.11,710,494,15,6
07.12,710,494,15,0
07.13,720,513,15,10
07.14,721,517,15,1
07.15,731,528,15,10
07.16,740,534,15,9
07.17,749,543,15,9
07.18,766,546,15,17
07.19,774,548,15,8
07.20,778,551,15,4
07.21,783,554,15,5
07.22,790,560,15,7
07.23,806,578,16,16
07.24,828,584,16,22
07.25,839,585,17,11
07.26,853,587,17,14
07.27,868,599,18,15
07.28,874,607,18,6
07.29,896,612,18,22
07.30,896,612,18,0
07.31,908,626,18,12
