,confirm,heal,dead,confirm_add
03.21,9,0,0,0
03.22,50,1,0,41
03.23,51,0,0,1
03.24,52,0,0,1
03.25,57,0,0,5
03.26,60,0,1,3
03.27,66,1,2,6
03.28,66,1,2,0
03.29,76,1,3,10
03.30,78,1,3,2
03.31,85,1,3,7
04.01,89,1,5,4
04.02,90,1,5,1
04.03,97,1,6,7
04.04,100,1,6,3
04.05,104,1,7,4
04.06,105,1,7,1
04.07,106,1,8,1
04.08,107,1,8,1
04.09,109,1,8,2
04.10,109,1,8,0
04.11,109,3,8,0
04.12,113,12,8,4
04.13,113,16,8,0
04.14,113,17,8,0
04.15,114,19,8,1
04.16,114,20,8,0
04.17,114,20,8,0
04.18,114,21,8,0
04.19,114,21,8,0
04.20,114,21,8,0
04.21,114,26,8,0
04.22,115,37,8,1
04.23,115,41,8,0
04.24,115,48,8,0
04.25,115,52,8,0
04.26,115,53,8,0
04.27,116,59,8,1
04.28,116,59,8,0
04.29,116,68,8,0
04.30,116,72,8,0
05.01,116,73,8,0
05.02,116,87,8,0
05.03,116,88,8,0
05.04,116,96,8,0
05.05,116,102,8,0
05.06,116,103,8,0
05.07,116,103,8,0
05.08,116,103,8,0
05.09,116,103,8,0
05.10,116,107,8,0
05.11,116,107,8,0
05.12,116,107,8,0
05.13,116,107,8,0
05.14,116,107,8,0
05.15,116,107,8,0
05.16,116,107,8,0
05.17,116,107,8,0
05.18,116,107,8,0
05.19,116,107,8,0
05.20,116,107,8,0
05.21,116,107,8,0
05.22,116,108,8,0
05.23,116,108,8,0
05.24,116,108,8,0
05.25,116,108,8,0
05.26,116,108,8,0
05.27,116,108,8,0
05.28,116,108,8,0
05.29,116,108,8,0
05.30,116,108,8,0
05.31,117,108,8,1
06.01,117,108,8,0
06.02,117,108,8,0
06.03,117,108,8,0
06.04,117,108,8,0
06.05,117,108,8,0
06.06,117,108,8,0
06.07,117,108,8,0
06.08,117,109,8,0
06.09,117,109,8,0
06.10,117,109,8,0
06.11,117,109,8,0
06.12,117,109,8,0
06.13,117,109,8,0
06.14,117,109,8,0
06.15,123,109,8,6
06.16,123,109,8,0
06.17,123,109,8,0
06.18,123,109,8,0
06.19,123,109,8,0
06.20,123,109,8,0
06.21,123,109,8,0
06.22,123,109,8,0
06.23,123,109,8,0
06.24,123,109,8,0
06.25,123,109,8,0
06.26,123,109,8,0
06.27,124,109,8,1
06.28,126,109,8,2
06.29,126,109,8,0
06.30,126,109,8,0
07.01,130,113,8,4
07.02,130,115,8,0
07.03,130,115,8,0
07.04,130,115,8,0
07.05,130,115,8,0
07.06,133,115,8,3
07.07,133,117,8,0
07.08,133,117,8,0
07.09,133,117,8,0
07.10,133,120,8,0
07.11,133,120,8,0
07.12,133,120,8,0
07.13,133,120,8,0
07.14,133,124,8,0
07.15,133,124,8,0
07.16,133,124,8,0
07.17,133,124,8,0
07.18,136,124,8,3
07.19,137,124,8,1
07.20,137,124,8,0
07.21,137,124,8,0
07.22,139,124,8,2
07.23,141,127,8,2
07.24,141,128,8,0
07.25,147,128,8,6
07.26,147,128,8,0
07.27,147,128,8,0
07.28,148,128,8,1
07.29,156,128,8,8
07.30,156,128,8,0
07.31,169,132,8,13
08.01,173,132,8,4
08.02,180,132,8,7
08.03,182,132,8,2
08.04,192,135,8,10
08.05,197,135,8,5
08.06,207,135,8,10
08.07,210,135,8,3
08.08,225,135,8,15
08.09,275,135,8,50
08.10,280,138,8,5
08.11,295,139,8,15
08.12,308,139,8,13
08.13,369,139,8,61
08.14,412,139,8,43
08.15,474,139,10,62
08.16,519,140,11,45
08.17,565,140,12,46
08.18,588,140,12,23
08.19,650,140,12,62
08.20,730,140,12,80
08.21,806,162,12,76
08.22,899,165,13,93
08.23,963,165,14,64
08.24,1031,165,15,68
08.25,1184,165,15,153
08.26,1384,178,15,200
08.27,1429,192,15,45
08.28,1429,192,15,0
08.29,1554,628,19,125
08.30,1683,672,21,129
08.31,1683,672,21,0
09.01,1773,685,25,90
09.02,1839,691,28,66
09.03,1941,700,28,102
09.04,1984,700,29,43
09.05,2040,707,31,56
09.06,2234,724,33,194
09.07,2250,724,34,16
09.08,2347,743,38,97
09.09,2391,743,39,44
09.10,2588,749,39,197
09.11,2777,762,45,189
09.12,2825,762,50,48
09.13,2993,766,51,168
09.14,3091,787,54,98
09.15,3141,787,55,50
09.16,3223,798,56,82
09.17,3327,810,58,104
09.18,3434,1469,60,107
09.19,3739,1586,60,305
09.20,3853,1695,61,114
09.21,3901,1753,65,48
09.22,3974,1871,65,73
09.23,4026,1871,65,52
09.24,4136,1960,67,110
09.25,4260,2122,69,124
09.26,4285,2185,70,25
09.27,4321,2234,70,36
09.28,4382,2275,72,61
09.29,4441,2454,74,59
09.30,4517,2560,75,76
10.01,4542,2629,76,25
10.02,4613,2729,76,71
10.03,4629,2729,76,16
10.04,4715,2802,79,86
10.05,4766,2884,81,51
10.06,4818,2951,83,52
10.07,4876,3010,84,58
10.08,4887,3010,84,11
10.09,4963,3076,86,76
10.10,5021,3150,89,58
10.11,5043,3221,90,22
10.12,5101,3252,90,58
10.13,5116,3303,92,15
10.14,5127,3367,93,11
10.15,5154,3452,93,27
10.16,5194,3502,93,40
10.17,5241,3545,95,47
10.18,5281,3584,95,40
10.19,5297,3652,96,16
10.20,5298,3696,97,1
10.21,5333,3758,98,35
10.22,5392,3822,101,59
10.23,5446,3876,103,54
10.24,5487,3945,104,41
10.25,5503,4018,105,16
10.26,5511,4085,105,8
10.27,5535,4126,106,24
10.28,5568,4186,106,33
10.29,5594,4246,107,26
10.30,5636,4293,107,42
10.31,5668,4455,107,32
11.01,5692,4610,108,24
11.02,5704,4763,109,12
11.03,5704,4887,109,0
11.04,5754,4929,110,50
11.05,5764,4993,110,10
11.06,5774,5024,111,10
11.07,5798,5084,111,24
11.08,5838,5127,111,40
11.09,5849,5132,111,11
11.10,5849,5203,111,0
11.11,5880,5238,111,31
11.12,5904,5284,111,24
11.13,5930,5317,111,26
11.14,5980,5343,111,50
11.15,6077,5373,112,97
11.16,6080,5402,112,3
11.17,6096,5440,112,16
11.18,6135,5460,113,39
11.19,6180,5505,113,45
11.20,6233,5531,113,53
11.21,6261,5559,113,28
11.22,6324,5559,115,63
11.23,6450,5610,115,126
11.24,6475,5622,115,25
11.25,6488,5639,115,13
11.26,6503,5655,116,15
11.27,6570,5680,116,67
11.28,6586,5710,118,16
11.29,6630,5732,118,44
11.30,6660,5745,120,30
12.01,6669,5771,120,9
12.02,6685,5807,120,16
12.03,6704,5843,121,19
12.04,6725,5861,121,21
12.05,6735,5884,121,10
12.06,6751,5907,122,16
12.07,6767,5937,122,16
12.08,6775,5962,122,8
12.09,6782,5996,122,7
12.10,6808,6036,122,26
12.11,6833,6060,122,25
12.12,6852,6103,122,19
12.13,6864,6126,122,12
12.14,6879,6145,122,15
12.15,6885,6180,123,6
12.16,6900,6204,123,15
12.17,6917,6230,123,17
12.18,6940,6385,123,23
12.19,6955,6405,123,15
12.20,6974,6426,123,19
12.21,7000,6457,123,26
12.22,7012,6471,125,12
12.23,7024,6488,125,12
12.24,7071,6495,125,47
12.25,7089,6503,125,18
12.26,7097,6527,125,8
12.27,7104,6545,125,7
12.28,7112,6551,125,8
12.29,7115,6570,125,3
12.30,7127,6595,125,12
12.31,7132,6628,126,5
01.01,7150,6650,127,18
01.02,7158,6671,127,8
01.03,7162,6680,127,4
01.04,7168,6690,127,6
01.05,7178,6718,127,10
01.06,7186,6735,127,8
01.07,7196,6744,127,10
01.08,7210,6774,127,14
01.09,7219,6832,127,9
01.10,7244,6844,128,25
01.11,7265,6857,128,21
01.12,7273,6863,128,8
01.13,7286,6883,128,13
01.14,7305,6891,129,19
01.15,7320,6896,130,15
01.16,7343,6913,130,23
01.17,7370,6923,131,27
01.18,7393,6930,132,23
01.19,7399,6938,132,6
01.20,7415,6945,132,16
01.21,7430,6965,133,15
01.22,7450,6974,133,20
01.23,7456,6991,133,6
01.24,7462,7002,134,6
01.25,7473,7015,134,11
01.26,7490,7033,134,17
01.27,7496,7058,134,6
01.28,7509,7077,134,13
01.29,7520,7099,134,11
01.30,7533,7124,134,13
01.31,7542,7147,134,9
02.01,7564,7168,134,22
02.02,7566,7178,134,2
02.03,7578,7190,134,12
02.04,7586,7205,135,8
02.05,7607,7222,135,21
02.06,7607,7242,135,0
02.07,7612,7255,135,5
02.08,7616,7266,135,4
02.09,7616,7287,135,0
02.10,7617,7302,136,1
02.11,7631,7314,136,14
02.12,7632,7318,136,1
02.13,7637,7323,137,5
02.14,7642,7334,138,5
02.15,7642,7346,138,0
02.16,7646,7351,138,4
