,confirm,heal,dead,confirm_add
03.03,1,0,0,1
03.04,1,0,0,0
03.05,1,0,0,0
03.06,1,0,0,0
03.07,1,0,0,0
03.08,1,0,0,0
03.09,1,0,0,0
03.10,5,0,0,4
03.11,5,0,0,0
03.12,7,0,0,2
03.13,13,0,0,6
03.14,13,0,0,0
03.15,18,0,0,5
03.16,20,0,0,2
03.17,20,0,0,0
03.18,27,0,0,7
03.19,39,0,0,12
03.20,39,0,0,0
03.21,60,0,0,21
03.22,75,0,3,15
03.23,89,1,3,14
03.24,114,1,3,25
03.25,119,1,4,5
03.26,173,1,5,59
03.27,227,1,6,54
03.28,227,2,7,0
03.29,278,2,8,51
03.30,312,2,8,34
03.31,362,3,10,50
04.01,394,3,10,32
04.02,423,5,12,29
04.03,455,5,14,32
04.04,495,5,18,40
04.05,553,5,19,58
04.06,574,5,22,21
04.07,596,5,22,22
04.08,623,25,23,27
04.09,628,25,24,5
04.10,643,25,25,15
04.11,671,43,25,28
04.12,685,43,28,14
04.13,707,43,31,22
04.14,726,43,34,19
04.15,747,43,34,21
04.16,780,43,35,33
04.17,822,43,37,42
04.18,864,43,37,42
04.19,866,43,37,2
04.20,879,148,38,13
04.21,884,148,38,5
04.22,901,170,38,17
04.23,909,190,38,8
04.24,918,190,38,9
04.25,922,194,38,4
04.26,939,207,38,17
04.27,949,216,38,10
04.28,967,279,39,18
04.29,975,279,40,8
04.30,980,294,40,5
05.01,994,305,41,14
05.02,998,316,41,4
05.03,1009,323,42,11
05.04,1013,328,42,4
05.05,1018,406,43,5
05.06,1022,482,43,4
05.07,1025,591,43,3
05.08,1026,600,44,1
05.09,1030,638,45,4
05.10,1032,660,45,2
05.11,1032,700,45,0
05.12,1032,727,45,0
05.13,1032,740,45,0
05.14,1032,759,45,0
05.15,1032,770,45,0
05.16,1035,802,45,3
05.17,1037,807,45,2
05.18,1037,816,45,0
05.19,1043,819,46,6
05.20,1044,826,47,1
05.21,1045,862,47,1
05.22,1046,883,47,1
05.23,1048,903,47,2
05.24,1048,914,48,0
05.25,1051,917,48,3
05.26,1051,919,48,0
05.27,1051,929,48,0
05.28,1068,938,48,17
05.29,1071,946,48,3
05.30,1076,950,48,5
05.31,1077,960,48,1
06.01,1084,964,48,7
06.02,1086,965,48,2
06.03,1086,965,48,0
