,confirm,heal,dead,confirm_add
03.11,1,0,0,1
03.12,1,0,0,0
03.13,2,0,0,1
03.14,5,0,0,3
03.15,6,0,0,1
03.16,18,0,0,12
03.17,47,0,0,29
03.18,98,0,1,51
03.19,191,0,2,93
03.20,359,0,4,168
03.21,670,0,9,311
03.22,947,0,21,277
03.23,1236,0,30,289
03.24,1529,0,37,293
03.25,1872,0,44,343
03.26,2433,26,59,561
03.27,3629,26,75,1196
03.28,5698,26,92,2069
03.29,7402,70,108,1704
03.30,9217,105,131,1815
03.31,10827,162,168,1610
04.01,13531,243,214,2704
04.02,15679,333,277,2148
04.03,18135,415,356,2456
04.04,20921,484,425,2786
04.05,23934,786,501,3013
04.06,27069,1042,574,3135
04.07,30217,1326,649,3148
04.08,34109,1582,725,3892
04.09,38226,1846,812,4117
04.10,42282,2142,908,4056
04.11,47029,2423,1006,4747
04.12,52167,2965,1101,5138
04.13,56956,3446,1198,4789
04.14,61049,3957,1296,4093
04.15,65111,4799,1403,4062
04.16,69392,5674,1518,4281
04.17,78546,8631,1769,9154
04.18,78546,8631,1769,0
04.19,82329,10453,1890,3783
04.20,86306,11976,2017,3977
04.21,90980,13430,2140,4674
04.22,95591,14918,2259,4611
04.23,98674,16477,2376,3083
04.24,101790,18491,2491,3116
04.25,104912,21737,2600,3122
04.26,107773,25582,2706,2861
04.27,110130,29140,2805,2357
04.28,112261,33791,2900,2131
04.29,114653,38809,2992,2392
04.30,117589,44040,3081,2936
05.01,120204,48886,3174,2615
05.02,122392,53808,3258,2188
05.03,124375,58259,3336,1983
05.04,126045,63151,3397,1670
05.05,127659,68166,3461,1614
05.06,129491,73285,3520,1832
05.07,131744,78202,3584,2253
05.08,133721,82984,3641,1977
05.09,135569,86396,3689,1848
05.10,137115,89480,3739,1546
05.11,138657,92691,3786,1542
05.12,139771,95780,3841,1114
05.13,141475,98889,3894,1704
05.14,143114,101715,3952,1639
05.15,144749,104030,4007,1635
05.16,146457,106133,4055,1708
05.17,148067,108137,4096,1610
05.18,149435,109962,4140,1368
05.19,150593,111577,4171,1158
05.20,151615,112895,4199,1022
05.21,152587,113987,4222,972
05.22,153548,114990,4249,961
05.23,154500,116111,4276,952
05.24,155686,117602,4308,1186
05.25,156827,118694,4340,1141
05.26,157814,120015,4369,987
05.27,158762,121507,4397,948
05.28,159797,122793,4431,1035
05.29,160979,124369,4461,1182
05.30,162120,125963,4489,1141
05.31,163103,126984,4515,983
06.01,163942,127973,4540,839
06.02,164769,128947,4563,827
06.03,165555,129921,4585,786
06.04,166422,130852,4609,867
06.05,167410,131778,4630,988
06.06,168340,133400,4648,930
06.07,169218,135322,4669,878
06.08,170132,137969,4692,914
06.09,171121,141380,4711,989
06.10,172114,144598,4729,993
06.11,173036,146839,4746,922
06.12,174023,147860,4763,987
06.13,175218,149102,4778,1195
06.14,176677,150087,4792,1459
06.15,178239,151417,4807,1562
06.16,179831,152364,4825,1592
06.17,181298,153379,4842,1467
06.18,182727,154640,4861,1429
06.19,184031,156022,4882,1304
06.20,185245,157516,4905,1214
06.21,186493,158828,4927,1248
06.22,187685,160240,4950,1192
06.23,188897,161533,4974,1212
06.24,190165,162848,5001,1268
06.25,191657,164234,5025,1492
06.26,193115,165706,5046,1458
06.27,194511,167198,5065,1396
06.28,195883,169182,5082,1372
06.29,197239,170595,5097,1356
06.30,198613,171809,5115,1374
07.01,199906,173111,5131,1293
07.02,201098,175422,5150,1192
07.03,202284,176965,5167,1186
07.04,203456,178278,5186,1172
07.05,204610,179492,5206,1154
07.06,205758,180680,5225,1148
07.07,206844,182995,5241,1086
07.08,207897,185292,5260,1053
07.09,208938,187511,5282,1041
07.10,209962,190390,5300,1024
07.11,210965,191883,5323,1003
07.12,211981,193217,5344,1016
07.13,212993,194515,5363,1012
07.14,214001,195671,5382,1008
07.15,214993,196720,5402,992
07.16,215940,197733,5419,947
07.17,216873,198820,5440,933
07.18,217799,199834,5458,926
07.19,218717,201013,5475,918
07.20,219641,202010,5491,924
07.21,220572,203002,5508,931
07.22,221500,204011,5526,928
07.23,222402,205214,5545,902
07.24,223315,206365,5563,913
07.25,224252,207374,5580,937
07.26,225173,208477,5596,921
07.27,226100,209487,5613,927
07.28,227019,210469,5630,919
07.29,227982,211561,5645,963
07.30,228924,212557,5659,942
07.31,229891,213539,5674,967
08.01,230873,214535,5691,982
08.02,231869,215516,5710,996
08.03,232856,216494,5728,987
08.04,233851,217497,5747,995
08.05,234934,218491,5765,1083
08.06,236112,219506,5784,1178
08.07,237265,220546,5798,1153
08.08,238450,221574,5813,1185
08.09,239622,222656,5829,1172
08.10,240804,223759,5844,1182
08.11,241997,224970,5858,1193
08.12,243180,226155,5873,1183
08.13,244392,227089,5891,1212
08.14,245635,228057,5912,1243
08.15,246861,228980,5934,1226
08.16,248117,229972,5955,1256
08.17,249309,230969,5974,1192
08.18,250542,231971,5996,1233
08.19,251805,232913,6016,1263
08.20,253108,233915,6039,1303
08.21,254520,234797,6058,1412
08.22,255723,235569,6080,1203
08.23,257032,236370,6102,1309
08.24,258249,237165,6121,1217
08.25,259692,237908,6139,1443
08.26,261194,238795,6163,1502
08.27,262507,239797,6183,1313
08.28,263998,240792,6209,1491
08.29,265515,241809,6245,1517
08.30,267064,242812,6284,1549
08.31,268546,243839,6326,1482
09.01,270133,244926,6370,1587
09.02,271705,245929,6417,1572
09.03,273301,246876,6462,1596
09.04,274943,248087,6511,1642
09.05,276555,249108,6564,1612
09.06,278228,250092,6620,1673
09.07,279806,251105,6673,1578
09.08,281509,252152,6730,1703
09.09,283270,253245,6782,1761
09.10,284943,254188,6837,1673
09.11,286455,255407,6895,1512
09.12,288126,256524,6951,1671
09.13,289635,257731,6999,1509
09.14,291162,258833,7056,1527
09.15,292878,260058,7119,1716
09.16,294620,261260,7186,1742
09.17,296391,262602,7249,1771
09.18,298039,263745,7315,1648
09.19,299810,264805,7377,1771
09.20,301348,266117,7445,1538
09.21,302867,267233,7506,1519
09.22,304610,268435,7574,1743
09.23,306302,269696,7639,1692
09.24,308069,270723,7711,1767
09.25,309790,271964,7785,1721
09.26,311455,273282,7858,1665
09.27,312966,274514,7929,1511
09.28,314433,275630,7997,1467
09.29,315845,277052,8062,1412
09.30,317272,278504,8130,1427
10.01,318663,279749,8195,1391
10.02,320070,281151,8262,1407
10.03,321512,282657,8325,1442
10.04,323014,283868,8384,1502
10.05,324443,285050,8441,1429
10.06,326046,286370,8498,1603
10.07,327557,287599,8553,1511
10.08,329138,288954,8609,1581
10.09,330753,290352,8667,1615
10.10,332382,291754,8722,1629
10.11,334031,293145,8778,1649
10.12,335533,294357,8837,1502
10.13,337147,295658,8895,1614
10.14,338779,296972,8957,1632
10.15,340450,298368,9014,1671
10.16,342143,299679,9080,1693
10.17,343955,301098,9153,1812
10.18,345678,302499,9224,1723
10.19,347493,304003,9296,1815
10.20,349519,305427,9371,2026
10.21,351413,306939,9445,1894
10.22,353426,308446,9513,2013
10.23,355528,310027,9584,2102
10.24,357693,311520,9658,2165
10.25,359784,313093,9727,2091
10.26,361801,314390,9799,2017
10.27,363999,316008,9874,2198
10.28,366208,317519,9950,2209
10.29,368513,319181,10027,2305
10.30,370832,320762,10099,2319
10.31,373154,322465,10177,2322
11.01,375367,323971,10252,2213
11.02,377473,325486,10326,2106
11.03,379775,327007,10402,2302
11.04,382118,328824,10481,2343
11.05,384509,330665,10558,2391
11.06,386820,332379,10639,2311
11.07,389256,334293,10722,2436
11.08,391739,336221,10803,2483
11.09,394255,338239,10887,2516
