,confirm,heal,dead,confirm_add
03.22,1,0,0,1
03.23,1,0,0,0
03.24,9,0,0,8
03.25,14,0,0,5
03.26,14,0,0,0
03.27,18,0,0,4
03.28,23,0,0,5
03.29,30,0,0,7
03.30,33,0,0,3
03.31,33,0,0,0
04.01,44,0,0,11
04.02,44,0,0,0
04.03,45,0,0,1
04.04,48,0,0,3
04.05,48,0,0,0
04.06,52,0,0,4
04.07,52,0,0,0
04.08,52,0,0,0
04.09,53,0,0,1
04.10,53,0,0,0
04.11,53,3,0,0
04.12,53,4,0,0
04.13,54,7,0,1
04.14,54,8,0,0
04.15,55,12,0,1
04.16,55,12,0,0
04.17,55,20,0,0
04.18,55,20,0,0
04.19,55,28,0,0
04.20,55,38,0,0
04.21,58,38,0,3
04.22,61,45,0,3
04.23,63,46,0,2
04.24,74,46,0,11
04.25,75,46,0,1
04.26,75,46,0,0
04.27,79,46,0,4
04.28,79,52,0,0
04.29,79,52,0,0
04.30,81,52,0,2
05.01,83,52,0,2
05.02,85,52,0,2
05.03,88,52,0,3
05.04,89,55,0,1
05.05,97,55,0,8
05.06,98,55,0,1
05.07,100,55,0,2
05.08,101,55,0,1
05.09,114,55,0,13
05.10,116,55,0,2
05.11,121,55,0,5
05.12,122,55,0,1
05.13,126,55,0,4
05.14,139,55,0,13
05.15,160,63,0,21
05.16,203,63,0,43
05.17,227,63,0,24
05.18,248,63,0,21
05.19,260,63,0,12
05.20,264,65,0,4
05.21,145,65,0,-119
05.22,160,66,0,15
05.23,175,68,0,15
05.24,198,68,0,23
05.25,212,68,0,14
05.26,222,69,0,10
05.27,253,69,0,31
05.28,281,69,0,28
05.29,317,69,0,36
05.30,329,72,0,12
05.31,413,72,0,84
06.01,457,72,0,44
06.02,489,79,0,32
06.03,489,82,0,0
06.04,522,82,0,33
06.05,557,82,0,35
06.06,557,82,0,0
06.07,616,96,0,59
06.08,646,103,0,30
06.09,657,118,0,11
06.10,665,119,0,8
06.11,679,161,0,14
06.12,686,161,0,7
06.13,694,199,0,8
06.14,696,240,0,2
06.15,705,299,0,9
06.16,724,351,0,19
06.17,732,420,0,8
06.18,741,486,0,9
06.19,755,492,0,14
06.20,763,492,0,8
06.21,770,578,0,7
06.22,774,631,0,4
06.23,797,699,0,23
06.24,805,717,0,8
06.25,805,717,0,0
06.26,833,761,0,28
06.27,848,761,0,15
06.28,859,794,0,11
06.29,870,808,0,11
06.30,870,808,0,0
07.01,893,837,0,23
07.02,902,847,0,9
07.03,911,849,0,9
07.04,927,868,0,16
07.05,939,891,0,12
07.06,953,892,0,14
07.07,971,896,0,18
07.08,977,904,0,6
07.09,1000,908,0,23
07.10,1006,938,0,6
07.11,1013,952,0,7
07.12,1025,972,0,12
07.13,1029,977,0,4
07.14,1040,984,0,11
07.15,1043,1004,0,3
07.16,1043,1004,0,0
07.17,1056,1023,0,13
07.18,1062,1023,0,6
07.19,1065,1023,0,3
07.20,1069,1071,0,4
07.21,1072,958,0,3
07.22,1075,958,0,3
07.23,1079,971,0,4
07.24,1089,975,1,10
07.25,1103,975,1,14
07.26,1103,982,1,0
07.27,1115,982,2,12
07.28,1135,989,2,20
07.29,1140,1028,2,5
07.30,1147,1028,2,7
07.31,1147,1028,2,0
08.01,1176,1045,4,29
08.02,1182,1045,4,6
08.03,1195,1070,5,13
08.04,1203,1073,5,8
08.05,1213,1102,5,10
08.06,1223,1102,5,10
08.07,1254,1113,6,31
08.08,1267,1115,6,13
08.09,1267,1115,6,0
08.10,1297,1137,9,30
08.11,1313,1138,9,16
08.12,1332,1139,9,19
08.13,1353,1141,11,21
08.14,1385,1142,12,32
08.15,1434,1142,13,49
08.16,1434,1142,13,0
08.17,1560,1165,15,126
08.18,1560,1165,15,0
08.19,1656,1188,16,96
08.20,1750,1194,19,94
08.21,1848,1199,19,98
