,confirm,heal,dead,confirm_add
01.29,4,0,0,0
01.30,4,0,0,0
01.31,5,0,0,1
02.01,5,0,0,0
02.02,5,0,0,0
02.03,5,0,0,0
02.04,5,0,0,0
02.05,5,0,0,0
02.06,5,0,0,0
02.07,5,0,0,0
02.08,7,1,0,2
02.09,7,1,0,0
02.10,7,1,0,0
02.11,8,1,0,1
02.12,8,1,0,0
02.13,8,1,0,0
02.14,8,1,0,0
02.15,8,1,0,0
02.16,8,4,0,0
02.17,9,4,0,1
02.18,9,4,0,0
02.19,9,4,0,0
02.20,9,4,0,0
02.21,9,4,0,0
02.22,13,4,0,4
02.23,13,4,0,0
02.24,13,4,0,0
02.25,13,4,0,0
02.26,13,4,0,0
02.27,13,4,0,0
02.28,19,5,0,6
02.29,21,5,0,2
03.01,21,5,0,0
03.02,21,5,0,0
03.03,21,5,0,0
03.04,27,5,0,6
03.05,28,5,0,1
03.06,29,5,0,1
03.07,45,7,0,16
03.08,45,7,0,0
03.09,59,7,0,14
03.10,74,17,0,15
03.11,74,17,0,0
03.12,85,17,0,11
03.13,85,17,0,0
03.14,85,17,0,0
03.15,86,23,0,12
03.16,98,26,0,12
03.17,98,26,0,0
03.18,113,26,0,15
03.19,140,31,0,27
03.20,140,31,0,0
03.21,153,38,2,13
03.22,153,38,2,0
03.23,198,41,2,45
03.24,198,41,2,0
03.25,333,52,2,135
03.26,333,52,2,0
03.27,333,52,2,0
03.28,468,55,2,63
03.29,468,55,2,0
03.30,611,61,5,143
03.31,664,61,6,53
04.01,664,61,6,0
04.02,814,61,8,150
04.03,1024,96,8,210
04.04,1505,125,10,481
04.05,1505,125,10,0
04.06,2076,167,11,571
04.07,2076,167,11,0
04.08,2659,239,12,583
04.09,2659,239,12,0
04.10,2990,268,14,331
04.11,3736,588,20,746
04.12,3736,588,20,0
04.13,4123,852,25,387
04.14,4521,852,25,398
04.15,4933,933,28,412
04.16,5365,1034,33,432
04.17,5825,1095,35,460
04.18,6302,1188,37,477
04.19,6781,1286,41,479
04.20,7265,1360,43,484
04.21,7755,1443,46,490
04.22,8238,1546,52,483
04.23,8756,1637,56,518
04.24,9281,1760,64,525
04.25,9281,1760,64,0
04.26,10349,1978,76,1068
04.27,10349,1978,76,0
04.28,11380,2181,89,1031
04.29,11380,2181,89,0
04.30,12481,2429,105,1101
05.01,13038,2543,111,557
05.02,13038,2543,111,0
05.03,13599,2664,119,561
05.04,14163,2763,126,564
05.05,15192,3153,146,1029
05.06,15192,3153,146,0
05.07,16240,3572,165,1048
05.08,16793,3837,174,553
05.09,16793,3837,174,0
05.10,18198,4804,198,1405
05.11,18198,4804,198,0
05.12,19661,6012,203,1463
05.13,19661,6012,203,0
05.14,21084,6930,208,1423
05.15,21831,7328,210,747
05.16,21831,7328,210,0
