,confirm,heal,dead,confirm_add
01.28,5,0,0,0
01.29,5,0,0,0
01.30,6,0,0,1
01.31,6,0,0,0
02.01,7,0,0,1
02.02,8,0,0,1
02.03,11,1,0,3
02.04,11,1,0,0
02.05,11,1,0,0
02.06,12,1,0,1
02.07,12,1,0,0
02.08,12,1,0,0
02.09,12,1,0,0
02.10,12,1,0,0
02.11,13,1,0,1
02.12,13,3,0,0
02.13,14,3,0,1
02.14,15,3,0,1
02.15,15,3,0,0
02.16,15,3,0,0
02.17,15,3,0,0
02.18,15,3,0,0
02.19,15,3,0,0
02.20,15,3,0,0
02.21,15,3,0,0
02.22,34,3,0,19
02.23,34,3,0,0
02.24,35,3,0,1
02.25,53,3,0,18
02.26,57,3,0,4
02.27,60,3,0,3
02.28,60,3,0,0
02.29,64,3,0,4
03.01,69,3,1,9
03.02,89,3,2,20
03.03,105,3,6,16
03.04,126,3,9,21
03.05,161,8,11,35
03.06,234,8,14,73
03.07,337,10,17,103
03.08,455,10,19,118
03.09,582,10,22,127
03.10,755,10,26,173
03.11,1052,15,31,297
03.12,1329,15,38,269
03.13,1880,31,41,551
03.14,2236,31,49,356
03.15,2943,48,60,697
03.16,3774,73,69,831
03.17,4687,74,93,913
03.18,6522,106,116,1835
03.19,10259,106,152,3737
03.20,14365,125,212,4106
03.21,20176,147,277,5811
03.22,26856,178,346,6680
03.23,35224,178,471,8368
03.24,46443,314,586,11219
03.25,55242,354,801,8799
03.26,69223,619,1054,13981
03.27,86043,753,1304,16820
03.28,104839,869,1716,18794
03.29,124676,1095,2196,19837
03.30,143071,4856,2513,17954
03.31,165874,5995,3178,22803
04.01,190089,7141,4102,24215
04.02,217263,8710,5151,27174
04.03,245658,9311,6069,28395
04.04,278568,9920,7163,32910
04.05,312481,15021,8503,33913
04.06,337971,17582,9654,25490
04.07,369069,20003,11018,31098
04.08,399979,22539,12912,30910
04.09,432579,24213,14830,32600
04.10,467184,26522,16736,34605
04.11,501701,29192,18781,34517
04.12,530830,32314,20646,29129
04.13,558999,42009,22154,28169
04.14,583220,44319,23654,24221
04.15,609995,50045,26069,26775
04.16,640014,52772,31002,29567
04.17,672293,56243,33325,32165
04.18,706856,60523,37087,28866
04.19,735366,66854,39095,26070
04.20,760570,71011,40702,28088
04.21,788920,73533,42458,25985
04.22,826248,75682,45153,29973
04.23,843981,77064,46859,31900
04.24,871285,80937,50066,38958
04.25,907096,99129,52063,35419
04.26,941628,105823,54024,26509
04.27,967585,107060,54931,23196
04.28,990135,111587,56475,25409
04.29,1015289,115955,58529,28429
04.30,1043595,124294,61187,30829
05.01,1095023,153947,63019,36007
05.02,1131030,161563,65753,29744
05.03,1160774,173318,67444,27348
05.04,1188122,178263,68598,24713
05.05,1212835,188027,69921,24798
05.06,1237633,200626,72271,25459
05.07,1263092,212981,74799,29531
05.08,1292623,217250,76928,29162
05.09,1321785,223603,78615,25524
05.10,1347309,252108,80037,20329
05.11,1367638,256336,80787,18196
05.12,1385834,262225,81795,21562
05.13,1408636,296746,83425,21712
05.14,1430348,310259,85197,27246
05.15,1457593,318027,86912,26692
05.16,1484285,327751,88507,23488
05.17,1507773,339232,90113,19891
05.18,1527664,346389,90978,22630
05.19,1550294,356383,91981,20289
05.20,1570583,361180,93533,21408
05.21,1592723,370076,94936,28179
05.22,1620897,382169,96354,24197
05.23,1644979,433597,97647,21929
05.24,1666828,446914,98683,19608
05.25,1686436,451702,99300,19790
05.26,1706226,464670,99805,19049
05.27,1725275,479969,100572,20546
05.28,1745803,490130,102107,22658
05.29,1768461,510713,103330,25069
05.30,1793530,519569,104542,23290
05.31,1816820,535238,105557,20350
06.01,1837170,599867,106195,22153
06.02,1859323,615416,106925,21882
06.03,1881205,645974,108059,20578
06.04,1901783,688670,109142,22268
06.05,1924051,712252,110173,25393
06.06,1965708,738646,111390,22836
06.07,1988544,751695,112096,18905
06.08,2007449,761708,112469,19044
06.09,2026493,773480,113055,19056
06.10,2045549,788862,114148,20852
06.11,2066401,808494,115130,20852
06.12,2089701,816086,116034,27221
06.13,2116922,841934,116825,27221
06.14,2142224,859912,117527,19920
06.15,2162228,870050,117858,20722
06.16,2182950,889866,118283,24377
06.17,2208400,903041,119132,26071
06.18,2235727,920052,119941,27924
06.19,2263651,930994,120688,33539
06.20,2297190,956061,121407,33388
06.21,2330578,972941,121980,26079
06.22,2356657,980355,122247,31496
06.23,2388153,1002929,122610,36015
06.24,2424168,1020381,123473,39103
06.25,2463271,1040605,124281,40184
06.26,2504588,1052293,126780,47341
06.27,2552956,1068703,127640,43581
06.28,2596537,1081437,128152,40540
06.29,2637077,1093456,128437,44734
06.30,2681811,1117177,129358,46042
07.01,2727853,1143334,130122,46484
07.02,2779953,1164680,130798,57236
07.03,2835684,1191091,131485,54904
07.04,2890588,1235488,132101,45182
07.05,2935770,1260405,132318,40892
07.06,2982928,1289564,132569,50586
07.07,3040833,1324947,132979,48804
07.08,3097084,1354863,133972,61848
07.09,3158932,1392679,134862,61067
07.10,3219999,1426428,135822,65507
07.11,3291786,1460495,136671,61719
07.12,3355646,1489420,137402,58349
07.13,3413995,1517084,137782,62391
07.14,3479483,1549469,138247,65594
07.15,3545077,1600195,139143,71670
07.16,3616827,1645962,140144,73388
07.17,3695025,1679633,141118,74987
07.18,3770012,1741233,142064,60871
07.19,3833271,1775219,142877,65279
07.20,3898550,1802338,143289,62879
07.21,3961429,1849989,143834,67140
07.22,4028569,1886583,144953,66481
07.23,4100875,1942637,146183,69116
07.24,4170318,1979617,147349,78009
07.25,4248327,2028074,148490,61649
07.26,4315709,2061692,149398,56130
07.27,4371839,2090129,149849,56928
07.28,4433410,2136603,150444,64729
07.29,4498343,2185894,152320,57581
07.30,4501116,2186267,152355,68569
07.31,4634985,2284965,155285,70904
08.01,4705889,2327572,156747,56628
08.02,4764318,2362903,157898,49038
08.03,4813647,2380217,158365,44765
08.04,4862174,2446798,158929,54504
08.05,4918420,2481680,160290,55148
08.06,4973568,2540137,161601,58611
08.07,5032278,2576668,162804,63246
08.08,5095524,2616967,164094,54199
08.09,5149723,2638470,165070,47849
08.10,5199444,2664701,165617,49800
08.11,5251446,2715934,166192,54519
08.12,5305957,2755348,167749,54345
08.13,5360302,2812603,169131,55364
08.14,5415666,2843204,170415,60600
08.15,5476266,2875147,171535,53523
08.16,5529789,2900188,172606,36843
08.17,5566632,2922724,173128,40612
08.18,5612027,2973587,173716,43999
08.19,5655974,3011098,175074,44957
08.20,5700931,3062331,176337,45341
08.21,5746272,3095484,178056,50455
08.22,5796737,3127418,179200,43829
08.23,5841428,3148080,180174,32718
08.24,5874146,3167063,180604,41484
08.25,5915630,3217981,181114,40098
08.26,5955728,3254282,182364,44637
08.27,6000365,3313861,183653,46286
08.28,6046634,3347940,184796,49601
08.29,6096235,3375838,185901,42843
08.30,6139078,3408799,186855,33981
08.31,6173236,3425723,187224,38560
09.01,6211796,3456263,187736,41979
09.02,6257571,3496913,188900,41211
09.03,6290737,3547032,189964,44507
09.04,6335244,3575096,191058,52853
09.05,6389057,3635854,192111,42095
09.06,6431152,3707000,192818,31110
09.07,6460250,3725970,193250,25325
09.08,6485575,3758629,193534,28561
09.09,6514231,3796760,194032,35244
09.10,6549475,3846095,195239,38811
09.11,6588163,3879960,196328,46600
09.12,6636247,3917962,197421,39282
09.13,6676601,3950354,198128,31857
09.14,6708458,3974949,198520,38072
09.15,6749289,4027826,199000,36447
09.16,6788147,4068086,200197,40154
09.17,6828301,4119158,201348,46295
09.18,6874596,4155039,202213,51345
09.19,6925941,4191894,203171,42533
09.20,6967403,4223693,203824,33344
09.21,7004768,4250140,204118,36372
09.22,7046216,4299525,204506,35696
09.23,7097937,4346110,205471,41616
09.24,7139553,4398907,206593,45355
09.25,7185471,4437575,207538,53629
09.26,7244184,4480719,208440,43206
09.27,7287561,4524108,209177,33782
09.28,7321343,4560456,209453,37418
09.29,7361611,4609636,209808,44227
09.30,7406146,4648683,210785,40929
10.01,7447282,4699706,211740,47389
10.02,7494671,4736621,212660,51403
10.03,7549323,4776824,213524,48925
10.04,7600846,4818509,214277,34066
10.05,7636912,4849038,214611,41576
10.06,7679644,4895078,215032,43660
10.07,7722746,4935545,215822,48715
10.08,7776224,4983830,216784,56652
10.09,7833763,5025193,217738,60558
10.10,7894478,5064300,218648,50876
10.11,7945505,5089842,219282,41935
10.12,7991998,5128162,219695,45791
10.13,8037789,5184615,220011,51531
10.14,8090250,5226423,220873,59693
10.15,8150043,5278753,221843,66129
10.16,8216315,5320139,222717,71687
10.17,8288278,5395401,223644,54232
10.18,8342665,5432192,224282,44941
10.19,8387799,5457684,224730,57327
10.20,8456653,5503268,225222,61429
10.21,8520307,5545619,226149,63663
10.22,8584819,5602116,227409,74301
10.23,8661651,5655301,228381,81210
10.24,8746953,5698161,229284,79449
10.25,8827932,5741611,230068,60889
10.26,8889179,5772498,230510,69841
10.27,8962783,5833824,231045,75072
10.28,9038030,5877964,232084,81581
10.29,9120751,5933212,233130,91530
10.30,9212767,5983345,234177,101461
10.31,9316297,6024512,235159,86293
11.01,9402590,6062438,236072,71321
11.02,9473911,6103605,236471,88905
11.03,9567543,6171402,236997,94463
11.04,9692528,6236170,238641,108389
11.05,9801355,6292019,239829,118204
11.06,9919522,6340472,240953,132540
11.07,10058586,6391208,242230,124232
11.08,10182818,6441744,243257,102726
11.09,10288480,6483420,243768,125689
11.10,10421956,6552610,244448,135574
11.11,10559184,6601331,245799,142808
11.12,10708630,6648679,247397,161541
11.13,10873936,6728120,248585,183527
11.14,11064364,6789146,249975,157081
11.15,11226038,6891015,251256,138249
11.16,11366379,6935630,251832,162149
11.17,11538057,7019304,252651,157261
11.18,11695711,7087796,254255,173632
11.19,11873727,7166996,256254,192186
11.20,12070712,7243488,258333,201083
11.21,12274726,7316323,260283,172839
11.22,12450666,7403847,261790,136627
11.23,12588661,7452540,262696,172103
11.24,12777174,7548940,263687,175047
11.25,12955007,7636684,265891,180903
11.26,13137962,7805280,268219,108063
11.27,13248676,7846872,269555,164012
11.28,13454254,7945582,271026,143373
11.29,13610357,8041239,272254,138188
11.30,13750404,8107203,273072,161568
12.01,13919870,8222879,274332,182172
12.02,14108490,8333018,276976,203427
12.03,14313941,8462347,279865,218576
12.04,14535196,8561427,282829,235272
12.05,14772535,8658882,285550,208790
12.06,14983425,8787738,287825,173861
12.07,15159529,8855593,288906,198792
12.08,15369046,8982246,290443,208121
12.09,15591709,9087069,293398,225441
12.10,15820042,9226411,296698,217779
12.11,16039393,9330865,299692,246530
12.12,16295458,9507419,302750,220298
12.13,16549366,9644325,305082,187901
12.14,16737267,9724439,306459,198647
12.15,16942822,9871663,308089,199875
12.16,17143779,10007853,311068,246996
12.17,17392618,10170735,314577,230982
12.18,17626770,10291057,317928,254680
12.19,17888353,10394286,320845,189415
12.20,18077768,10545445,323401,183223
12.21,18267579,10622082,324869,200109
12.22,18473716,10802496,326772,199080
