,confirm,heal,dead,confirm_add
11.12,1,0,0,0
11.13,1,0,0,0
11.14,1,0,0,0
11.15,1,0,0,0
11.16,1,0,0,0
11.17,1,0,0,0
11.18,1,0,0,0
11.19,1,0,0,0
11.20,1,0,0,0
11.21,1,0,0,0
11.22,1,0,0,0
11.23,1,0,0,0
11.24,1,0,0,0
11.25,1,0,0,0
11.26,1,0,0,0
11.27,1,0,0,0
11.28,1,0,0,0
11.29,1,0,0,0
11.30,1,0,0,0
12.01,1,0,0,0
12.02,1,0,0,0
12.03,1,0,0,0
12.04,1,1,0,0
12.05,1,1,0,0
12.06,1,1,0,0
12.07,1,1,0,0
12.08,1,1,0,0
12.09,1,1,0,0
12.10,1,1,0,0
12.11,1,1,0,0
12.12,1,1,0,0
12.13,1,1,0,0
12.14,1,1,0,0
12.15,1,1,0,0
12.16,1,1,0,0
12.17,1,1,0,0
12.18,1,1,0,0
12.19,1,1,0,0
12.20,1,1,0,0
12.21,1,1,0,0
12.22,1,1,0,0
12.23,1,1,0,0
12.24,1,1,0,0
12.25,1,1,0,0
12.26,1,1,0,0
12.27,1,1,0,0
12.28,1,1,0,0
12.29,1,1,0,0
12.30,1,1,0,0
12.31,1,1,0,0
01.01,1,1,0,0
01.02,1,1,0,0
01.03,1,1,0,0
01.04,1,1,0,0
01.05,1,1,0,0
01.06,1,1,0,0
01.07,1,1,0,0
01.08,1,1,0,0
01.09,1,1,0,0
01.10,1,1,0,0
01.11,1,1,0,0
01.12,1,1,0,0
01.13,1,1,0,0
01.14,1,1,0,0
01.15,1,1,0,0
01.16,1,1,0,0
01.17,1,1,0,0
01.18,1,1,0,0
01.19,1,1,0,0
01.20,1,1,0,0
01.21,1,1,0,0
01.22,1,1,0,0
01.23,1,1,0,0
01.24,1,1,0,0
01.25,1,1,0,0
01.26,1,1,0,0
01.27,1,1,0,0
01.28,1,1,0,0
01.29,1,1,0,0
01.30,1,1,0,0
01.31,1,1,0,0
02.01,1,1,0,0
02.02,1,1,0,0
02.03,1,1,0,0
02.04,1,1,0,0
02.05,1,1,0,0
02.06,1,1,0,0
02.07,1,1,0,0
02.08,1,1,0,0
02.09,1,1,0,0
02.10,1,1,0,0
02.11,1,1,0,0
02.12,1,1,0,0
02.13,1,1,0,0
02.14,1,1,0,0
02.15,1,1,0,0
02.16,1,1,0,0
02.17,1,1,0,0
02.18,1,1,0,0
02.19,1,1,0,0
02.20,1,1,0,0
02.21,1,1,0,0
02.22,1,1,0,0
02.23,1,1,0,0
02.24,1,1,0,0
02.25,1,1,0,0
02.26,1,1,0,0
02.27,1,1,0,0
02.28,1,1,0,0
03.01,1,1,0,0
03.02,1,1,0,0
03.03,1,1,0,0
03.04,1,1,0,0
03.05,1,1,0,0
03.06,1,1,0,0
03.07,1,1,0,0
03.08,1,1,0,0
03.09,3,1,0,2
03.10,3,1,0,0
03.11,3,1,0,0
03.12,3,1,0,0
03.13,3,1,0,0
03.14,3,1,0,0
03.15,3,1,0,0
03.16,3,1,0,0
03.17,3,1,0,0
03.18,3,1,0,0
03.19,3,1,0,0
03.20,3,1,0,0
03.21,3,1,0,0
03.22,3,1,0,0
03.23,3,1,0,0
03.24,3,1,0,0
03.25,3,1,0,0
03.26,3,1,0,0
03.27,3,1,0,0
03.28,3,1,0,0
03.29,3,1,0,0
03.30,3,1,0,0
03.31,3,1,0,0
04.01,3,1,0,0
04.02,3,1,0,0
04.03,3,1,0,0
04.04,3,1,0,0
04.05,3,1,0,0
04.06,3,1,0,0
04.07,3,1,0,0
04.08,3,1,0,0
04.09,3,1,0,0
04.10,3,1,0,0
04.11,3,1,0,0
04.12,3,1,0,0
04.13,3,1,0,0
04.14,3,1,0,0
04.15,3,1,0,0
04.16,3,1,0,0
04.17,3,1,0,0
04.18,3,1,0,0
04.19,3,1,0,0
04.20,3,1,0,0
04.21,3,1,0,0
04.22,4,1,1,1
04.23,4,1,1,0
04.24,4,3,1,0
04.25,4,3,1,0
04.26,4,3,1,0
04.27,4,3,1,0
04.28,4,3,1,0
04.29,4,3,1,0
04.30,4,3,1,0
05.01,4,3,1,0
05.02,4,3,1,0
05.03,4,3,1,0
05.04,4,3,1,0
05.05,4,3,1,0
05.06,4,3,1,0
05.07,4,3,1,0
05.08,4,3,1,0
05.09,4,3,1,0
05.10,4,3,1,0
05.11,4,3,1,0
05.12,4,3,1,0
05.13,4,3,1,0
05.14,4,3,1,0
05.15,4,3,1,0
05.16,4,3,1,0
05.17,4,3,1,0
05.18,4,3,1,0
05.19,4,3,1,0
05.20,4,3,1,0
05.21,4,3,1,0
05.22,4,3,1,0
05.23,4,3,1,0
05.24,4,3,1,0
05.25,4,3,1,0
05.26,4,3,1,0
05.27,4,3,1,0
05.28,4,3,1,0
05.29,4,3,1,0
05.30,4,3,1,0
05.31,4,3,1,0
06.01,4,3,1,0
06.02,4,3,1,0
06.03,4,3,1,0
06.04,4,3,1,0
06.05,4,3,1,0
06.06,4,3,1,0
06.07,4,3,1,0
06.08,4,3,1,0
06.09,4,3,1,0
06.10,4,3,1,0
06.11,4,3,1,0
06.12,4,3,1,0
06.13,4,3,1,0
06.14,4,3,1,0
06.15,4,3,1,0
06.16,4,3,1,0
06.17,4,3,1,0
06.18,4,3,1,0
06.19,4,3,1,0
06.20,4,3,1,0
06.21,4,3,1,0
06.22,4,3,1,0
06.23,4,3,1,0
06.24,4,3,1,0
06.25,4,3,1,0
06.26,4,3,1,0
06.27,4,3,1,0
06.28,4,3,1,0
06.29,4,3,1,0
06.30,4,3,1,0
07.01,4,3,1,0
07.02,4,3,1,0
