,confirm,heal,dead,confirm_add
03.14,2,0,0,2
03.15,10,0,0,8
03.16,17,0,0,7
03.17,33,0,0,16
03.18,33,0,0,0
03.19,36,0,0,3
03.20,42,0,0,6
03.21,65,0,0,23
03.22,70,0,0,28
03.23,77,0,0,7
03.24,84,0,0,7
03.25,91,15,0,7
03.26,106,0,0,22
03.27,107,0,1,1
03.28,113,39,2,6
03.29,119,39,2,12
03.30,129,39,3,10
03.31,135,39,3,6
04.01,143,41,3,8
04.02,144,43,3,1
04.03,146,43,5,2
04.04,153,52,7,7
04.05,155,52,7,2
04.06,159,52,7,4
04.07,165,65,7,6
04.08,166,65,7,1
04.09,167,65,9,1
04.10,171,84,9,4
04.11,175,84,9,4
04.12,175,93,9,0
04.13,181,93,9,6
04.14,189,110,9,8
04.15,197,111,9,8
04.16,197,111,9,0
04.17,204,111,9,7
04.18,227,113,9,23
04.19,227,117,9,0
04.20,256,117,9,29
04.21,285,117,10,29
04.22,288,122,10,3
04.23,298,122,10,10
04.24,311,126,10,13
04.25,318,132,10,7
04.26,323,132,10,5
04.27,325,137,10,2
04.28,329,142,10,4
04.29,329,142,10,0
04.30,331,142,10,2
05.01,333,142,16,2
05.02,335,148,10,2
05.03,345,148,10,10
05.04,357,158,10,12
05.05,361,158,10,4
05.06,367,164,10,6
05.07,379,176,10,12
05.08,381,185,10,2
05.09,388,190,10,7
05.10,402,190,10,14
05.11,414,193,10,12
05.12,422,205,10,8
05.13,423,220,10,1
05.14,440,220,10,17
05.15,455,220,10,15
05.16,459,229,10,4
05.17,504,241,10,45
05.18,541,241,10,37
05.19,618,253,10,77
05.20,749,253,10,131
05.21,824,262,10,75
05.22,882,262,10,58
05.23,944,262,10,62
05.24,1010,262,10,66
05.25,1121,262,10,111
05.26,1177,302,10,56
05.27,1211,302,11,34
05.28,1245,302,11,34
05.29,1325,302,11,80
05.30,1370,302,14,45
05.31,1459,302,14,89
06.01,1510,302,14,51
06.02,1662,302,17,152
06.03,1819,334,18,157
06.04,1952,334,20,133
06.05,2087,334,20,135
06.06,2145,334,20,58
06.07,2316,385,22,171
06.08,2377,487,22,61
06.09,2473,487,22,96
06.10,2632,487,23,159
06.11,2738,487,23,106
06.12,2814,487,23,76
06.13,2879,487,23,65
06.14,2904,487,24,25
06.15,2978,835,25,74
06.16,3062,835,26,84
06.17,3150,835,27,88
06.18,3386,835,28,236
06.19,3483,835,28,97
06.20,3591,835,30,108
06.21,3789,835,33,198
06.22,3917,835,33,128
06.23,4048,1327,35,131
06.24,4187,1327,35,139
06.25,4366,1327,38,179
06.26,4563,1327,39,197
06.27,4779,1327,41,216
06.28,5130,1327,42,351
06.29,5297,1649,44,167
06.30,5530,1649,48,233
07.01,5832,1649,51,302
07.02,6062,1649,54,230
07.03,6273,2100,57,211
07.04,6537,2100,59,264
07.05,6750,2100,62,213
07.06,7169,2100,65,419
07.07,7411,2100,68,242
07.08,7693,2100,71,282
07.09,8008,2100,75,315
07.10,8372,2544,80,364
07.11,8803,2671,83,431
07.12,9178,2671,85,375
07.13,9465,2671,89,287
07.14,9707,2671,93,242
07.15,10010,2671,96,303
07.16,10428,3050,100,418
07.17,10854,3255,104,426
07.18,11191,3852,107,337
07.19,11483,3972,110,292
07.20,11891,3972,112,408
07.21,12334,6844,116,443
07.22,12774,6983,120,440
07.23,13164,7471,124,390
07.24,13613,7752,129,449
07.25,14263,8127,134,650
07.26,14929,8795,138,666
07.27,15463,9746,142,534
07.28,15988,9959,146,525
07.29,16571,10195,151,583
07.30,17158,10421,154,587
07.31,17859,10421,158,701
08.01,18574,10421,164,715
08.02,19443,11129,169,869
08.03,20206,11404,174,763
08.04,20754,11622,180,548
08.05,21438,11875,187,684
08.06,22299,12146,195,861
08.07,23280,12470,202,981
08.08,24166,12470,208,886
08.09,24961,13356,215,795
08.10,25805,13356,223,844
08.11,26800,16930,229,995
08.12,27938,19706,238,1138
08.13,29088,21042,247,1150
08.14,30369,21385,259,1281
08.15,31381,21580,266,1012
08.16,32607,21747,276,1226
08.17,33755,22700,281,1148
08.18,34802,23575,288,1047
08.19,35697,24561,297,895
08.20,36868,25416,303,1171
08.21,37567,26330,311,699
08.22,38219,27306,317,652
08.23,38957,28453,323,738
08.24,39564,29966,329,607
08.25,40338,31080,337,774
08.26,41158,32015,343,820
08.27,41965,32931,351,807
08.28,42898,34147,358,933
08.29,43879,34972,366,981
08.30,44946,36175,375,1067
08.31,45868,37091,381,922
09.01,46728,38112,386,860
09.02,47756,39027,391,1028
09.03,48883,39912,398,1127
09.04,49877,40574,402,994
09.05,50973,41249,412,1096
09.06,52165,42006,420,1192
09.07,53289,42006,428,1124
09.08,54350,43753,436,1061
09.09,55563,44435,444,1213
09.10,56751,45318,452,1188
09.11,57823,46125,460,1072
09.12,58663,46960,468,840
09.13,59630,47729,477,967
09.14,60540,48644,485,910
09.15,61569,49371,494,1029
09.16,62655,50361,502,1086
09.17,63416,51274,511,761
09.18,64284,52564,520,868
09.19,65174,54218,530,890
09.20,65949,55155,539,775
09.21,66656,56096,547,707
09.22,67443,56726,555,787
09.23,68453,57774,564,1010
09.24,69439,58759,574,986
09.25,70406,59745,581,967
09.26,71273,60709,591,867
09.27,71940,61528,600,667
09.28,72691,62427,606,751
09.29,73528,63346,614,837
09.30,74363,64200,621,835
10.01,75122,65225,628,759
10.02,76029,66245,635,907
10.03,76820,67216,643,791
10.04,77646,68098,649,826
10.05,78434,68917,653,788
10.06,79117,69832,658,683
10.07,79796,70719,665,679
10.08,80404,71531,671,608
10.09,81019,72196,678,615
10.10,81696,73020,684,677
10.11,82453,73919,691,757
10.12,83137,74664,697,684
10.13,83756,75400,704,619
10.14,84391,76262,710,635
10.15,85005,76886,714,614
10.16,85469,77689,720,464
10.17,85758,78294,725,289
10.18,86289,78847,731,531
10.19,86636,79694,736,347
10.20,87161,80316,741,525
10.21,87644,80316,747,483
10.22,88035,81626,753,391
10.23,88416,82284,759,381
10.24,88718,82899,764,302
10.25,89142,83443,770,424
10.26,89565,83947,773,423
10.27,90047,84444,777,482
10.28,90400,84907,780,353
10.29,90876,85402,784,476
10.30,91280,85897,789,404
10.31,91589,86335,793,309
11.01,92013,86773,798,424
11.02,92325,87156,801,312
11.03,92705,87547,806,380
11.04,93100,87941,810,395
11.05,93480,88326,814,380
11.06,93921,88701,819,441
11.07,94305,89099,821,384
11.08,94698,89502,824,393
11.09,94883,89755,826,185
11.10,95149,90054,830,266
11.11,95445,90359,834,296
11.12,95750,90743,838,305
11.13,96140,91141,841,390
11.14,96441,91452,844,301
11.15,96933,91948,848,492
11.16,97352,92373,851,419
11.17,97739,92767,855,387
11.18,98050,93084,858,311
11.19,98350,93390,860,300
11.20,98665,93691,863,315
11.21,99017,94046,866,352
11.22,99435,94355,869,418
11.23,99835,94355,871,400
11.24,100143,94985,873,308
11.25,100498,95344,876,355
11.26,100817,95669,880,319
11.27,101215,96072,884,398
11.28,101524,96402,888,309
11.29,101760,96652,892,236
11.30,102040,96652,894,280
12.01,102394,97326,897,354
12.02,102621,97562,901,227
12.03,103067,98030,905,446
12.04,103548,98521,909,481
12.05,103877,98879,913,329
12.06,104177,98879,916,300
12.07,104442,99494,919,265
12.08,104904,99982,924,462
12.09,105384,100476,928,480
12.10,105852,100952,933,468
12.11,106280,101384,938,428
12.12,106715,101823,944,435
12.13,107177,102289,949,462
12.14,107786,102289,954,609
12.15,108125,103037,960,339
12.16,108480,103271,965,355
12.17,108717,103492,970,237
12.18,109081,103741,975,364
12.19,109395,103975,979,314
12.20,109781,104208,984,386
12.21,110075,104462,988,294
12.22,110513,104799,993,438
12.23,110828,104799,997,315
12.24,111024,105249,1002,196
12.25,111245,105479,1006,221
12.26,111603,105804,1010,358
12.27,111951,106105,1013,348
12.28,112316,106453,1014,365
12.29,112636,106737,1018,320
12.30,112861,106958,1021,225
12.31,113121,107203,1025,260
01.01,113558,107583,1028,437
01.02,113884,107901,1030,326
01.03,114083,108086,1032,199
