,confirm,heal,dead,confirm_add
01.28,2,0,0,0
01.29,2,0,0,0
01.30,5,0,0,3
01.31,5,0,0,0
02.01,6,0,0,1
02.02,7,0,0,1
02.03,8,0,0,1
02.04,10,3,0,2
02.05,10,3,0,0
02.06,12,3,0,2
02.07,12,3,0,0
02.08,13,3,0,1
02.09,14,3,0,1
02.10,14,3,0,0
02.11,15,3,0,1
02.12,15,7,0,0
02.13,16,7,0,1
02.14,16,7,0,0
02.15,16,7,0,0
02.16,16,7,0,0
02.17,16,7,0,0
02.18,16,7,0,0
02.19,16,7,0,0
02.20,16,7,0,0
02.21,16,15,0,0
02.22,16,15,0,0
02.23,16,15,0,0
02.24,16,15,0,0
02.25,16,16,0,0
02.26,16,16,0,0
02.27,16,16,0,0
02.28,16,16,0,0
02.29,16,16,0,0
03.01,16,16,0,0
03.02,16,16,0,0
03.03,16,16,0,0
03.04,16,16,0,0
03.05,16,16,0,0
03.06,16,16,0,0
03.07,18,16,0,1
03.08,30,16,0,9
03.09,30,16,0,0
03.10,34,16,0,4
03.11,39,16,0,5
03.12,44,16,0,5
03.13,47,16,0,3
03.14,53,16,0,4
03.15,54,16,0,1
03.16,60,16,0,7
03.17,60,16,0,0
03.18,68,16,0,8
03.19,76,16,0,8
03.20,87,17,0,11
03.21,94,17,0,7
03.22,99,17,0,5
03.23,123,17,0,22
03.24,134,17,0,11
03.25,141,17,0,18
03.26,153,17,0,12
03.27,163,20,0,10
03.28,174,20,0,11
03.29,188,25,0,14
03.30,194,52,0,6
03.31,207,57,0,13
04.01,218,63,0,11
04.02,227,75,0,9
04.03,237,85,0,10
04.04,240,90,0,3
04.05,241,90,0,1
04.06,245,95,0,4
04.07,249,123,0,4
04.08,251,126,0,2
04.09,255,128,0,4
04.10,257,144,0,2
04.11,258,144,0,1
04.12,260,144,0,2
04.13,265,145,0,5
04.14,266,169,0,1
04.15,267,171,0,1
04.16,268,177,0,1
04.17,268,198,0,0
04.18,268,201,0,0
04.19,268,203,0,0
04.20,268,214,0,0
04.21,268,216,0,0
04.22,268,223,0,0
04.23,268,224,0,0
04.24,270,225,0,2
04.25,270,225,0,0
04.26,270,225,0,0
04.27,270,225,0,0
04.28,270,225,0,0
04.29,270,222,0,0
04.30,270,219,0,0
05.01,270,219,0,0
05.02,270,219,0,0
05.03,270,219,0,0
05.04,271,219,0,1
05.05,271,232,0,0
05.06,271,232,0,0
05.07,288,233,0,17
05.08,288,241,0,0
05.09,288,241,0,0
05.10,288,241,0,0
05.11,288,249,0,0
05.12,288,252,0,0
05.13,288,252,0,0
05.14,288,260,0,0
05.15,312,260,0,24
05.16,318,260,0,6
05.17,320,260,0,2
05.18,324,263,0,4
05.19,324,263,0,0
05.20,324,263,0,0
05.21,324,264,0,0
05.22,324,266,0,0
05.23,324,267,0,0
05.24,325,267,0,1
05.25,326,272,0,1
05.26,327,272,0,1
05.27,327,278,0,0
05.28,327,278,0,0
05.29,327,279,0,0
05.30,328,279,0,1
05.31,328,279,0,0
06.01,328,293,0,0
06.02,328,298,0,0
06.03,328,298,0,0
06.04,328,302,0,0
06.05,328,307,0,0
06.06,329,307,0,1
06.07,329,307,0,0
06.08,332,316,0,3
06.09,332,316,0,0
06.10,332,317,0,0
06.11,332,321,0,0
06.12,333,323,0,1
06.13,334,323,0,1
06.14,334,323,0,0
06.15,334,323,0,0
06.16,334,325,0,0
06.17,335,325,0,1
06.18,342,325,0,7
06.19,349,326,0,7
06.20,349,326,0,0
06.21,349,327,0,0
06.22,349,327,0,0
06.23,349,328,0,0
06.24,352,329,0,3
06.25,352,329,0,0
06.26,353,330,0,1
06.27,355,330,0,2
06.28,355,330,0,0
06.29,355,330,0,0
06.30,355,335,0,0
07.01,355,335,0,0
07.02,355,336,0,0
07.03,355,340,0,0
07.04,355,340,0,0
07.05,355,340,0,0
07.06,369,341,0,14
07.07,369,341,0,0
07.08,369,347,0,0
07.09,369,347,0,0
07.10,369,347,0,0
07.11,370,350,0,1
07.12,372,350,0,2
07.13,372,350,0,0
07.14,373,352,0,1
07.15,381,353,0,8
07.16,381,353,0,0
07.17,382,356,0,1
07.18,382,356,0,0
07.19,383,357,0,1
07.20,384,360,0,1
07.21,396,365,0,12
07.22,408,365,0,12
07.23,412,365,0,4
07.24,413,365,0,1
07.25,417,365,0,4
07.26,420,365,0,3
07.27,431,365,0,11
07.28,438,369,0,7
07.29,450,369,0,12
07.30,464,369,0,14
07.31,546,373,1,82
08.01,586,373,3,40
08.02,620,373,6,34
08.03,642,373,6,22
08.04,670,378,8,28
08.05,713,381,8,43
08.06,747,392,10,34
08.07,784,395,10,37
08.08,797,395,10,13
08.09,841,395,11,44
08.10,847,399,13,6
08.11,863,399,16,16
08.12,880,400,17,17
08.13,905,421,20,25
08.14,929,437,21,24
08.15,950,447,23,21
08.16,962,456,24,12
08.17,976,467,24,14
08.18,989,526,26,13
08.19,993,533,25,4
08.20,1007,542,25,14
08.21,1009,545,25,2
08.22,1014,563,26,5
08.23,1016,563,27,2
08.24,1022,587,27,6
08.25,1029,592,27,7
08.26,1034,632,29,5
08.27,1036,637,30,2
08.28,1038,663,30,2
08.29,1040,677,32,2
08.30,1040,695,32,0
08.31,1044,707,34,4
09.01,1044,735,34,0
09.02,1046,746,34,2
09.03,1046,746,35,0
09.04,1049,772,35,3
09.05,1049,786,35,0
09.06,1049,815,35,0
09.07,1049,853,35,0
09.08,1054,868,35,5
09.09,1059,890,35,5
09.10,1059,890,35,0
09.11,1060,902,35,1
09.12,1060,902,35,0
09.13,1063,918,35,3
09.14,1063,918,35,0
09.15,1063,926,35,0
09.16,1063,936,35,0
09.17,1066,940,35,3
09.18,1068,941,35,2
09.19,1068,942,35,0
09.20,1068,942,35,0
09.21,1068,947,35,0
09.22,1068,957,35,0
09.23,1069,991,35,1
09.24,1069,991,35,0
09.25,1069,999,35,0
09.26,1069,999,35,0
09.27,1074,999,35,5
09.28,1077,999,35,3
09.29,1094,1007,35,17
09.30,1094,1010,35,0
10.01,1095,1010,35,1
10.02,1095,1020,35,0
10.03,1096,1020,35,1
10.04,1096,1020,35,0
10.05,1097,1022,35,1
10.06,1098,1023,35,1
10.07,1099,1023,35,1
10.08,1099,1023,35,0
10.09,1105,1024,35,6
10.10,1107,1024,35,2
10.11,1109,1024,35,2
10.12,1110,1025,35,1
10.13,1113,1025,35,3
10.14,1122,1029,35,9
10.15,1124,1030,35,2
10.16,1124,1030,35,0
10.17,1126,1031,35,2
10.18,1134,1031,35,8
10.19,1140,1046,35,6
10.20,1141,1046,35,1
10.21,1144,1046,35,3
10.22,1148,1049,35,4
10.23,1148,1049,35,0
10.24,1160,1051,35,12
10.25,1168,1057,35,8
10.26,1169,1061,35,1
10.27,1172,1062,35,3
10.28,1173,1062,35,1
10.29,1177,1062,35,4
10.30,1177,1062,35,0
10.31,1180,1062,35,3
11.01,1180,1063,35,0
11.02,1192,1065,35,12
11.03,1202,1069,35,10
11.04,1203,1069,35,1
11.05,1207,1069,35,4
11.06,1212,1070,35,5
11.07,1213,1070,35,1
11.08,1213,1070,35,0
11.09,1215,1087,35,2
11.10,1215,1087,35,0
11.11,1226,1087,35,11
11.12,1253,1093,35,27
11.13,1256,1101,35,3
11.14,1256,1103,35,0
11.15,1281,1103,35,25
11.16,1283,1124,35,2
11.17,1288,1124,35,5
11.18,1300,1124,35,12
11.19,1304,1142,35,4
11.20,1305,1142,35,1
11.21,1305,1142,35,0
11.22,1307,1142,35,2
11.23,1312,1151,35,5
11.24,1316,1153,35,4
11.25,1321,1153,35,5
11.26,1331,1166,35,10
11.27,1339,1170,35,8
11.28,1341,1179,35,2
11.29,1343,1179,35,2
11.30,1346,1179,35,3
12.01,1351,1195,35,5
12.02,1358,1201,35,7
12.03,1361,1209,35,3
12.04,1361,1220,35,0
12.05,1365,1220,35,4
12.06,1366,1220,35,1
12.07,1367,1224,35,1
12.08,1377,1224,35,10
12.09,1381,1225,35,4
12.10,1385,1225,35,4
12.11,1391,1238,35,6
12.12,1395,1238,35,4
12.13,1397,1241,35,2
12.14,1402,1246,35,5
12.15,1405,1252,35,3
12.16,1405,1252,35,0
12.17,1407,1263,35,2
12.18,1410,1266,35,3
12.19,1411,1269,35,1
12.20,1413,1269,35,2
12.21,1414,1269,35,1
12.22,1420,1281,35,6
12.23,1421,1281,35,1
12.24,1432,1281,35,11
12.25,1438,1303,35,6
12.26,1440,1303,35,2
12.27,1441,1303,35,1
12.28,1451,1303,35,10
12.29,1454,1319,35,3
12.30,1456,1323,35,2
12.31,1465,1325,35,9
01.01,1474,1325,35,9
01.02,1482,1337,35,8
01.03,1482,1337,35,0
