,confirm,heal,dead,confirm_add
04.10,1,0,0,0
04.11,1,0,0,0
04.12,1,0,0,0
04.13,1,0,0,0
04.14,1,0,0,0
04.15,1,0,0,0
04.16,1,0,0,0
04.17,1,0,0,0
04.18,1,0,0,0
04.19,1,0,0,0
04.20,1,0,0,0
04.21,1,0,0,0
04.22,1,0,0,0
04.23,1,0,0,0
04.24,1,1,0,0
04.25,1,1,0,0
04.26,1,1,0,0
04.27,1,1,0,0
04.28,1,1,0,0
04.29,1,1,0,0
04.30,6,1,2,5
05.01,6,1,2,0
05.02,7,1,2,1
05.03,10,1,2,3
05.04,10,1,2,0
05.05,21,1,3,11
05.06,25,1,5,4
05.07,25,1,5,0
05.08,34,1,7,9
05.09,34,1,7,0
05.10,34,1,7,0
05.11,51,1,8,17
05.12,56,1,9,5
05.13,70,1,12,14
05.14,85,1,12,15
05.15,106,1,15,21
05.16,122,1,18,16
05.17,122,1,18,0
05.18,128,1,20,6
05.19,130,1,20,2
05.20,167,5,28,37
05.21,184,5,30,17
05.22,197,5,33,13
05.23,209,11,33,12
05.24,212,11,39,3
05.25,233,10,44,21
05.26,233,10,44,0
05.27,249,10,49,16
05.28,256,10,53,7
05.29,283,11,65,27
05.30,283,11,65,0
05.31,310,13,77,27
06.01,323,14,80,13
06.02,354,14,84,31
06.03,399,15,87,45
06.04,419,17,95,20
06.05,453,17,103,34
06.06,469,23,111,16
06.07,482,23,111,13
06.08,484,23,112,2
06.09,496,23,112,12
06.10,524,23,127,28
06.11,560,23,129,36
06.12,591,23,136,31
06.13,632,28,139,41
06.14,705,39,160,73
06.15,728,53,164,23
06.16,844,79,208,116
06.17,885,91,214,41
06.18,902,271,244,17
06.19,909,273,248,7
06.20,919,288,251,10
06.21,922,328,254,3
06.22,941,347,256,19
06.23,967,350,257,26
06.24,992,356,261,25
06.25,1015,379,274,23
06.26,1076,386,288,61
06.27,1089,402,293,13
06.28,1103,417,296,14
06.29,1118,430,302,15
06.30,1128,432,304,10
07.01,1158,488,312,30
07.02,1190,504,318,32
07.03,1221,513,325,31
07.04,1240,536,335,19
07.05,1248,537,337,8
07.06,1265,552,338,17
07.07,1284,575,345,19
07.08,1297,591,348,13
07.09,1318,595,351,21
07.10,1356,619,361,38
07.11,1380,630,364,24
07.12,1389,642,365,9
07.13,1465,659,417,76
07.14,1498,675,424,33
07.15,1516,685,429,18
07.16,1526,694,433,10
07.17,1552,695,438,26
07.18,1576,695,440,24
07.19,1581,701,443,5
07.20,1606,712,445,25
07.21,1619,714,447,13
07.22,1629,741,456,10
07.23,1640,751,458,11
07.24,1654,762,461,14
07.25,1674,779,469,20
07.26,1674,780,474,0
07.27,1681,797,479,7
07.28,1691,833,483,10
07.29,1703,840,484,12
07.30,1711,849,485,8
07.31,1726,856,487,15
08.01,1728,862,493,2
08.02,1730,862,494,2
08.03,1734,862,497,4
08.04,1734,863,499,0
08.05,1760,863,506,26
08.06,1763,894,508,3
08.07,1768,898,508,5
08.08,1796,907,512,28
08.09,1797,910,512,1
08.10,1804,913,515,7
08.11,1832,915,518,28
08.12,1831,919,523,-1
08.13,1841,937,528,10
08.14,1847,949,528,6
08.15,1858,1009,528,11
08.16,1858,1013,528,0
08.17,1869,1013,530,11
08.18,1882,1045,535,13
08.19,1889,1052,537,7
08.20,1892,1055,539,3
08.21,1899,1058,541,7
08.22,1906,1058,542,7
08.23,1907,1066,546,1
08.24,1911,1086,553,4
08.25,1916,1090,555,5
08.26,1924,1091,557,8
08.27,1930,1097,560,6
08.28,1933,1098,562,3
08.29,1943,1107,563,10
08.30,1946,1113,563,3
08.31,1953,1123,564,7
09.01,1958,1131,566,5
09.02,1962,1160,570,4
09.03,1976,1175,571,14
09.04,1979,1180,571,3
09.05,1983,1194,572,4
09.06,1983,1197,572,0
09.07,1987,1200,572,4
09.08,1989,1201,573,2
09.09,1994,1203,576,5
09.10,1999,1209,576,5
09.11,2003,1211,580,4
09.12,2007,1211,582,4
09.13,2009,1211,582,2
09.14,2011,1212,583,2
09.15,2013,1215,583,2
09.16,2016,1219,583,3
09.17,2019,1221,583,3
09.18,2022,1221,585,3
09.19,2024,1221,585,2
09.20,2026,1221,585,2
09.21,2026,1227,586,0
09.22,2028,1235,586,2
09.23,2029,1245,586,1
09.24,2029,1245,586,0
09.25,2029,1255,587,0
09.26,2029,1255,587,0
09.27,2030,1260,587,1
09.28,2030,1266,587,0
09.29,2031,1266,587,1
09.30,2031,1275,587,0
10.01,2039,1297,587,8
10.02,2039,1297,587,0
10.03,2040,1307,589,1
10.04,2041,1320,589,1
10.05,2041,1320,591,0
10.06,2041,1323,592,0
10.07,2047,1327,593,6
10.08,2049,1328,593,2
10.09,2050,1329,593,1
10.10,2051,1329,593,1
10.11,2051,1329,595,0
10.12,2052,1329,595,1
10.13,2052,1329,596,0
10.14,2053,1329,596,1
10.15,2053,1329,596,0
10.16,2053,1329,596,0
10.17,2055,1335,596,2
10.18,2055,1336,596,0
10.19,2056,1338,597,1
10.20,2056,1338,597,0
10.21,2057,1338,597,1
10.22,2057,1344,597,0
10.23,2057,1344,597,0
10.24,2060,1354,599,3
10.25,2060,1360,599,0
10.26,2060,1360,599,0
10.27,2060,1360,599,0
10.28,2060,1364,599,0
10.29,2061,1366,599,1
10.30,2062,1366,599,1
10.31,2062,1366,599,0
11.01,2063,1366,599,1
11.02,2063,1366,600,0
11.03,2063,1375,601,0
11.04,2063,1375,601,0
11.05,2063,1375,601,0
11.06,2063,1375,601,0
11.07,2067,1375,602,4
11.08,2070,1375,602,3
11.09,2070,1375,602,0
11.10,2071,1394,605,1
11.11,2071,1394,605,0
11.12,2071,1394,605,0
